"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","49b916c007d3dbb75da7ceb655dd8cefb4e15ac4",8098,"Cottus","genus",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","Cottus",""
"2","fd7d89190e5c165cf36284ea0fca46c98216328c",30962,"Oncorhynchus clarkii","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus clarkii"
"3","e330f6d1a7768b21c34c1d9d6814f5b48c87b05a",8167,"Perca flavescens","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Percidae","Perca","Perca flavescens"
"4","a56843c86d60d4423f69f4836868d31ea7eadf22",8022,"Oncorhynchus mykiss","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"5","de42666eb0e70e73c99b1061e5e4bfe4477204b5",8022,"Oncorhynchus mykiss","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"6","580a64b0134da56e49bf06482ed6ee164d8a6ec5",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"7","c51ba26786eb5812df3c3d681e5755e302ae36ac",8112,"Percoidei","suborder",1,"Metazoa","Chordata","Actinopteri","Perciformes","","",""
"8","94b310b913e0d26c0720e1775a3f2a7f2dd6af18",9188,"Turdus migratorius","species",NA,"Metazoa","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus migratorius"
"9","31adf9b0bfe620438b8e730fd474cc27e61c3cc4",69293,"Gasterosteus aculeatus","species",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus"
"10","02e4a86c119ca4b65e5b616135fa996aa2eb4372",8019,"Oncorhynchus kisutch","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch"
"11","740c378e277181351b28591e13ea62ddfd7cdb81",8855,"Cairina moschata","species",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","Cairina","Cairina moschata"
"12","c6d586dc78d8ef5cac238cba2d5714407775bd69",33213,"Bilateria","clade",NA,"Metazoa","","","","","",""
"13","8e5fb424831d8863aa9ddae5847022470ba0f1a9",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"14","ca4009e9f4961a466d717e77ddddcf64a374073d",8830,"Anatidae","family",NA,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"15","bdc5051a9cacab13fb434cfc69b314d56d6c4d08",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"16","d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"17","0af50c9e935876232e242db91bb835235691bf3a",8295,"Ambystoma","genus",1,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"18","ca63b9c36ce7e668fd43cabb3ca7ac3ae440e17e",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"19","5d2be06aa1ff742a96eae7b10b30f83e45e7047a",8825,"Neognathae","infraclass",1,"Metazoa","Chordata","Aves","","","",""
"20","de26beedf761d580fc97bc18ace14fa56f70ee00",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"21","e91566016fbcf98da05e2b60225429805c140b6a",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"22","097a152c219da9af2fd576074865eb81e7bfd7c2",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"23","bd4b9c9245a692142f393fe905f4f5d7d75bc4e7",8023,"Oncorhynchus nerka","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka"
"24","e2c71b543132b7f139214530f2a5cc808a95523d",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"25","f2a25ce492a30a4768da727b9f52dd7dbc9c9c3f",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"26","fd0f9ab975371e1ffcf2abb49fbe0f9193f83c99",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"27","e57c51158619fccc3fb62acfd0583380b9c627e3",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"28","6e4d6fc979d741ef072ea95bc64ff44f34666c60",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"29","5a40ba128affb337e0f4ef136d888fd9001599dd",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"30","f78e25ea3cd72ae2175b33d8fe81e921b6cc36bd",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"31","185824f7d4a43613756c10e1eb0fc14203c5fb2a",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"32","9c7862e78c6125096094eb37008bbb6febcbeaa2",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"33","5283992258b3263ebe315aff962006eae1c76627",8111,"Perciformes","order",1,"Metazoa","Chordata","Actinopteri","Perciformes","","",""
"34","b30abeb51bb89f0e7d537abe96123cc870592d7a",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"35","30653d8276bc10f8ff41fe57c6a7ea5092df4092",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"36","d6d7333ba5d29b5c2437d8be4ef0426e4b543437",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"37","54ede9cb45cc58cb41be2b4cede32f7b3ce71137",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"38","0f6c3c2dd10fca4be78a15c7c2a227e7ea298d40",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"39","6b932fc0195945c54561b77fdf95c2b361d77887",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"40","d850301399f367fa5261a6e0ff3ff3c9629dc194",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"41","47272f04f28dba4f2f00404046177f81df26864d",8016,"Oncorhynchus","genus",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus",""
"42","356c9e8e032ccd933d99e6e70be0f03d79687d91",8092,"Cottidae","family",NA,"Metazoa","Chordata","Actinopteri","Perciformes","Cottidae","",""
"43","861a5b665ecb74d74f7408dc2a49fb5de92793e6",504568,"Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
