Sequencing.run,Sample_name,Sample_ID,Locus,Index.Set,Index.number,i7_Index_Name,i5_Index_Name,Well,Month.year,Creek,Station,Bio.rep,Tech.rep,Dilution.factor,Type,rc
2,NGN0131,MiFish.0321.1Prt.Up.1,MiFish,A,37,UDP0037,UDP0037,E05,321,1Prt,Up,1,1,100,sample,0
2,NGN0132,MiFish.0321.2Brn.Dn.3,MiFish,A,38,UDP0038,UDP0038,F05,321,2Brn,Dn,3,1,1,sample,0
2,NGN0133,MiFish.0321.3Chk.Dn.1,MiFish,A,39,UDP0039,UDP0039,G05,321,3Chk,Dn,1,1,10,sample,0
2,NGN0134,MiFish.0321.3Chk.Dn.3,MiFish,A,40,UDP0040,UDP0040,H05,321,3Chk,Dn,3,1,10,sample,0
2,NGN0135,MiFish.0321.3Chk.Up.2,MiFish,A,41,UDP0041,UDP0041,A06,321,3Chk,Up,2,1,10,sample,0
2,NGN0136,MiFish.0321.4Pad.Dn.2,MiFish,A,42,UDP0042,UDP0042,B06,321,4Pad,Dn,2,1,1,sample,0
2,NGN0137,MiFish.0321.4Pad.Dn.3,MiFish,A,43,UDP0043,UDP0043,C06,321,4Pad,Dn,3,1,1,sample,0
2,NGN0138,MiFish.0321.4Pad.Up11.1,MiFish,A,44,UDP0044,UDP0044,D06,321,4Pad,Up11,1,1,1,sample,0
2,NGN0139,MiFish.0321.4Pad.Up11.3,MiFish,A,45,UDP0045,UDP0045,E06,321,4Pad,Up11,3,1,1,sample,0
2,NGN0140,MiFish.0321.4Pad.Up5.1,MiFish,A,46,UDP0046,UDP0046,F06,321,4Pad,Up5,1,1,1,sample,0
2,NGN0141,MiFish.0321.4Pad.Up5.2,MiFish,A,47,UDP0047,UDP0047,G06,321,4Pad,Up5,2,1,1,sample,0
2,NGN0142,MiFish.0321.4Pad.Up5.3,MiFish,A,48,UDP0048,UDP0048,H06,321,4Pad,Up5,3,1,10,sample,0
2,NGN0143,MiFish.0321.5Sqm.Dn.3,MiFish,A,49,UDP0049,UDP0049,A07,321,5Sqm,Dn,3,1,1,sample,0
2,NGN0144,MiFish.0321.5Sqm.Up.1,MiFish,A,50,UDP0050,UDP0050,B07,321,5Sqm,Up,1,1,1,sample,0
2,NGN0145,MiFish.0421.1Prt.Dn.1,MiFish,A,51,UDP0051,UDP0051,C07,421,1Prt,Dn,1,1,100,sample,0
2,NGN0146,MiFish.0421.1Prt.Dn.3,MiFish,A,52,UDP0052,UDP0052,D07,421,1Prt,Dn,3,1,10,sample,0
2,NGN0147,MiFish.0421.2Brn.Dn.2,MiFish,A,53,UDP0053,UDP0053,E07,421,2Brn,Dn,2,1,1,sample,0
2,NGN0148,MiFish.0421.2Brn.Dn.3,MiFish,A,54,UDP0054,UDP0054,F07,421,2Brn,Dn,3,1,1,sample,0
2,NGN0149,MiFish.0421.2Brn.Up.2,MiFish,A,55,UDP0055,UDP0055,G07,421,2Brn,Up,2,1,1,sample,0
2,NGN0150,MiFish.0421.3Chk.Dn.1,MiFish,A,56,UDP0056,UDP0056,H07,421,3Chk,Dn,1,1,10,sample,0
2,NGN0151,MiFish.0421.3Chk.Dn.2,MiFish,A,57,UDP0057,UDP0057,A08,421,3Chk,Dn,2,1,1,sample,0
2,NGN0152,MiFish.0421.3Chk.Up.1,MiFish,A,58,UDP0058,UDP0058,B08,421,3Chk,Up,1,1,10,sample,0
2,NGN0153,MiFish.0421.4Pad.Up11.2,MiFish,A,59,UDP0059,UDP0059,C08,421,4Pad,Up11,2,1,1,sample,0
2,NGN0154,MiFish.0421.4Pad.Up5.1,MiFish,A,60,UDP0060,UDP0060,D08,421,4Pad,Up5,1,1,1,sample,0
2,NGN0155,MiFish.0421.4Pad.Up5.2,MiFish,A,61,UDP0061,UDP0061,E08,421,4Pad,Up5,2,1,1,sample,0
2,NGN0156,MiFish.0421.5Sqm.Dn.2,MiFish,A,62,UDP0062,UDP0062,F08,421,5Sqm,Dn,2,1,1,sample,0
2,NGN0157,MiFish.0421.5Sqm.Dn.3,MiFish,A,63,UDP0063,UDP0063,G08,421,5Sqm,Dn,3,1,1,sample,0
2,NGN0158,MiFish.0421.5Sqm.Up.2,MiFish,A,64,UDP0064,UDP0064,H08,421,5Sqm,Up,2,1,1,sample,0
2,NGN0159,MiFish.0421.5Sqm.Up.3,MiFish,A,65,UDP0065,UDP0065,A09,421,5Sqm,Up,3,1,1,sample,0
2,NGN0160,MiFish.0821.1Prt.Dn.2,MiFish,A,66,UDP0066,UDP0066,B09,821,1Prt,Dn,2,1,1,sample,0
2,NGN0161,MiFish.0821.1Prt.Dn.3,MiFish,A,67,UDP0067,UDP0067,C09,821,1Prt,Dn,3,1,1,sample,0
2,NGN0162,MiFish.0821.1Prt.Up.2,MiFish,A,68,UDP0068,UDP0068,D09,821,1Prt,Up,2,1,10,sample,0
2,NGN0163,MiFish.0821.1Prt.Up.3,MiFish,A,69,UDP0069,UDP0069,E09,821,1Prt,Up,3,1,10,sample,0
2,NGN0164,MiFish.0821.2Brn.Dn.2,MiFish,A,70,UDP0070,UDP0070,F09,821,2Brn,Dn,2,1,1,sample,0
2,NGN0165,MiFish.0821.2Brn.Up.1,MiFish,A,71,UDP0071,UDP0071,G09,821,2Brn,Up,1,1,1,sample,0
2,NGN0166,MiFish.0821.2Brn.Up.3,MiFish,A,72,UDP0072,UDP0072,H09,821,2Brn,Up,3,1,1,sample,0
2,NGN0167,MiFish.0821.3Chk.Up.1,MiFish,A,73,UDP0073,UDP0073,A10,821,3Chk,Up,1,1,1,sample,0
2,NGN0168,MiFish.0821.4Pad.Dn.1,MiFish,A,74,UDP0074,UDP0074,B10,821,4Pad,Dn,1,1,10,sample,0
2,NGN0169,MiFish.0821.5Sqm.Dn.1,MiFish,A,75,UDP0075,UDP0075,C10,821,5Sqm,Dn,1,1,1,sample,0
2,NGN0170,MiFish.0821.2Brn.Dn.2.TR2,MiFish,A,76,UDP0076,UDP0076,D10,821,2Brn,Dn,2,2,1,tech_rep,0
2,NGN0171,MiFish.0821.2Brn.Dn.2.TR3,MiFish,A,77,UDP0077,UDP0077,E10,821,2Brn,Dn,2,3,1,tech_rep,0
2,NGN0172,MiFish.Kangaroo.Run2,MiFish,A,78,UDP0078,UDP0078,F10,Kangaroo,Kangaroo,Kangaroo,Kangaroo,1,1,Kangaroo,0
3,NGN0211,MiFish.0321.1Prt.Dn.1,MiFish,A,25,UDP0025,UDP0025,A04,321,1Prt,Dn,1,1,100,sample,0
3,NGN0212,MiFish.0321.1Prt.Dn.2,MiFish,A,26,UDP0026,UDP0026,B04,321,1Prt,Dn,2,1,100,sample,0
3,NGN0213,MiFish.0321.1Prt.Up.2,MiFish,A,27,UDP0027,UDP0027,C04,321,1Prt,Up,2,1,100,sample,0
3,NGN0214,MiFish.0321.2Brn.Dn.1,MiFish,A,28,UDP0028,UDP0028,D04,321,2Brn,Dn,1,1,1,sample,0
3,NGN0215,MiFish.0321.2Brn.Up.1,MiFish,A,29,UDP0029,UDP0029,E04,321,2Brn,Up,1,1,1,sample,0
3,NGN0216,MiFish.0321.2Brn.Up.2,MiFish,A,30,UDP0030,UDP0030,F04,321,2Brn,Up,2,1,1,sample,0
3,NGN0217,MiFish.0321.2Brn.Up.3,MiFish,A,31,UDP0031,UDP0031,G04,321,2Brn,Up,3,1,1,sample,0
3,NGN0218,MiFish.0321.4Pad.Dn.1,MiFish,A,32,UDP0032,UDP0032,H04,321,4Pad,Dn,1,1,1,sample,0
3,NGN0219,MiFish.0321.5Sqm.Up.2,MiFish,A,33,UDP0033,UDP0033,A05,321,5Sqm,Up,2,1,1,sample,0
3,NGN0220,MiFish.0321.1Prt.Dn.1.TR2,MiFish,A,34,UDP0034,UDP0034,B05,321,1Prt,Dn,1,2,100,tech_rep,0
3,NGN0221,MiFish.0321.1Prt.Dn.1.TR3,MiFish,A,35,UDP0035,UDP0035,C05,321,1Prt,Dn,1,3,100,tech_rep,0
3,NGN0222,MiFish.0421.1Prt.Dn.2,MiFish,A,36,UDP0036,UDP0036,D05,421,1Prt,Dn,2,1,100,sample,0
3,NGN0223,MiFish.0421.2Brn.Up.3,MiFish,A,37,UDP0037,UDP0037,E05,421,2Brn,Up,3,1,1,sample,0
3,NGN0224,MiFish.0421.3Chk.Dn.3,MiFish,A,38,UDP0038,UDP0038,F05,421,3Chk,Dn,3,1,1,sample,0
3,NGN0225,MiFish.0421.4Pad.Dn.1,MiFish,A,39,UDP0039,UDP0039,G05,421,4Pad,Dn,1,1,1,sample,0
3,NGN0226,MiFish.0421.4Pad.Up11.3,MiFish,A,40,UDP0040,UDP0040,H05,421,4Pad,Up11,3,1,1,sample,0
3,NGN0227,MiFish.0421.5Sqm.Up.1,MiFish,A,41,UDP0041,UDP0041,A06,421,5Sqm,Up,1,1,1,sample,0
3,NGN0228,MiFish.0421.3Chk.Dn.3.TR2,MiFish,A,42,UDP0042,UDP0042,B06,421,3Chk,Dn,3,2,1,tech_rep,0
3,NGN0229,MiFish.0421.3Chk.Dn.3.TR3,MiFish,A,43,UDP0043,UDP0043,C06,421,3Chk,Dn,3,3,1,tech_rep,0
3,NGN0230,MiFish.0821.1Prt.Dn.1,MiFish,A,44,UDP0044,UDP0044,D06,821,1Prt,Dn,1,1,1,sample,0
3,NGN0231,MiFish.0821.1Prt.Up.1,MiFish,A,45,UDP0045,UDP0045,E06,821,1Prt,Up,1,1,10,sample,0
3,NGN0232,MiFish.0821.2Brn.Up.2,MiFish,A,46,UDP0046,UDP0046,F06,821,2Brn,Up,2,1,1,sample,0
3,NGN0233,MiFish.0821.3Chk.Dn.2,MiFish,A,47,UDP0047,UDP0047,G06,821,3Chk,Dn,2,1,1,sample,0
3,NGN0234,MiFish.0821.4Pad.Dn.2,MiFish,A,48,UDP0048,UDP0048,H06,821,4Pad,Dn,2,1,1,sample,0
3,NGN0235,MiFish.0821.4Pad.Up11.3,MiFish,A,49,UDP0049,UDP0049,A07,821,4Pad,Up11,3,1,1,sample,0
3,NGN0236,MiFish.0821.4Pad.Up5.3,MiFish,A,50,UDP0050,UDP0050,B07,821,4Pad,Up5,3,1,1,sample,0
3,NGN0237,MiFish.0821.5Sqm.Dn.2,MiFish,A,51,UDP0051,UDP0051,C07,821,5Sqm,Dn,2,1,1,sample,0
3,NGN0238,MiFish.Kangaroo.Run3,MiFish,A,52,UDP0052,UDP0052,D07,Kangaroo,Kangaroo,Kangaroo,Kangaroo,1,1,Kangaroo,0
4,NGN0302,MiFish.0321.1Prt.Dn.3,MiFish,A,26,UDP0026,UDP0026,B04,321,1Prt,Dn,3,1,100,sample,0
4,NGN0303,MiFish.0321.1Prt.Up.3,MiFish,A,27,UDP0027,UDP0027,C04,321,1Prt,Up,3,1,100,sample,0
4,NGN0304,MiFish.0321.2Brn.Dn.2,MiFish,A,28,UDP0028,UDP0028,D04,321,2Brn,Dn,2,1,1,sample,0
4,NGN0305,MiFish.0321.3Chk.Dn.2,MiFish,A,29,UDP0029,UDP0029,E04,321,3Chk,Dn,2,1,1,sample,0
4,NGN0306,MiFish.0321.3Chk.Up.1,MiFish,A,30,UDP0030,UDP0030,F04,321,3Chk,Up,1,1,10,sample,0
4,NGN0307,MiFish.0321.3Chk.Up.3,MiFish,A,31,UDP0031,UDP0031,G04,321,3Chk,Up,3,1,10,sample,0
4,NGN0308,MiFish.0321.4Pad.Up11.2,MiFish,A,32,UDP0032,UDP0032,H04,321,4Pad,Up11,2,1,1,sample,0
4,NGN0309,MiFish.0321.5Sqm.Dn.1,MiFish,A,33,UDP0033,UDP0033,A05,321,5Sqm,Dn,1,1,1,sample,0
4,NGN0310,MiFish.0321.5Sqm.Dn.2,MiFish,A,34,UDP0034,UDP0034,B05,321,5Sqm,Dn,2,1,1,sample,0
4,NGN0311,MiFish.0321.5Sqm.Up.3,MiFish,A,35,UDP0035,UDP0035,C05,321,5Sqm,Up,3,1,1,sample,0
