Sample_name,Locus,Hash,nReads
MiFish.0321.1Prt.Up.1,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,20364
MiFish.0321.1Prt.Up.1,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,3018
MiFish.0321.1Prt.Up.1,MiFish,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,1475
MiFish.0321.1Prt.Up.1,MiFish,b2adee11d0798c70d512e9c4a4ec72cf72fdab7a,121
MiFish.0321.1Prt.Up.1,MiFish,629aa86f569921707980e85a596cb12105791f75,1955
MiFish.0321.1Prt.Up.1,MiFish,8ec931f8723a382855753cbfb8c92bd75cf323a8,359
MiFish.0321.1Prt.Up.1,MiFish,8399a44ac9eddd3a5e70f87c08014d7e00b2f02a,969
MiFish.0321.1Prt.Up.1,MiFish,a786ab2b4d6cd6be5394f1351bea438a7d35726e,275
MiFish.0321.1Prt.Up.1,MiFish,8ed6e061a113f0a3323ef17b1c1e2f2fb575a043,369
MiFish.0321.1Prt.Up.1,MiFish,09c6e1785ec090a52b290777a5058509454bf61f,57
MiFish.0321.1Prt.Up.1,MiFish,c85bde7ee5fbef22260dd6fd67f84887524f0801,125
MiFish.0321.1Prt.Up.1,MiFish,8ad7b3ad6cac7dcf8cb45bc25832428c5b4176e8,1662
MiFish.0321.1Prt.Up.1,MiFish,f536d06c01845ccab42b872aac3cb3788e538310,537
MiFish.0321.1Prt.Up.1,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,64
MiFish.0321.1Prt.Up.1,MiFish,4748ac7f3909734e514c31c438cb533bdf7b9f91,68
MiFish.0321.1Prt.Up.1,MiFish,c8675d1b381c1c19a0084ea543db41de6a478051,6
MiFish.0321.1Prt.Up.1,MiFish,0f393c323c7d2dcd0cb68a529747e8c4abfd9509,518
MiFish.0321.1Prt.Up.1,MiFish,9c94ba083a52d4995e5bcfae6ea41aa5c0431be8,1596
MiFish.0321.1Prt.Up.1,MiFish,572d0ebd3c85cad6ac4c8c13468d267182e42a2c,1129
MiFish.0321.1Prt.Up.1,MiFish,4702e118146d7c95bcdd40a03886c3ce480a0232,61
MiFish.0321.1Prt.Up.1,MiFish,1553e093118bdc22bdbfed5138b635e4c772dc57,30
MiFish.0321.1Prt.Up.1,MiFish,9c944dd49cc66af585d01075d653dc14fb1403c1,890
MiFish.0321.1Prt.Up.1,MiFish,ad6053ef8b9c7ececb1449fbd7937cc28583b1eb,746
MiFish.0321.1Prt.Up.1,MiFish,fca1a806def1be627e8da89bc3962c381ab5d46f,25
MiFish.0321.1Prt.Up.1,MiFish,267aa7fd1982ad1231f15695eab5d5d802650fd1,361
MiFish.0321.1Prt.Up.1,MiFish,c447f6055f4d4185b3b56474d2464bd854ed6811,170
MiFish.0321.1Prt.Up.1,MiFish,563b57c9f36d94b8cc9dd4903befaf95a015af5a,49
MiFish.0321.1Prt.Up.1,MiFish,6f59d575eb8996f930b1622a5dc11b3f8734ccf5,294
MiFish.0321.1Prt.Up.1,MiFish,1c55c48eea48f9b3d4988feef548151f23615fc8,342
MiFish.0321.1Prt.Up.1,MiFish,93a08621cefddb36afa51968b00f31c0067a0816,616
MiFish.0321.1Prt.Up.1,MiFish,de153c34b212edc93e83a42901b4b97d6e887c7f,400
MiFish.0321.1Prt.Up.1,MiFish,e6ea754005001269f3c50e7326892547a4af556f,219
MiFish.0321.1Prt.Up.1,MiFish,a81e672f00bcc20926457e60435e6736d75defed,76
MiFish.0321.1Prt.Up.1,MiFish,0ac2e814a8ca473e24a9d20a4a2a8caf24b9cc25,97
MiFish.0321.1Prt.Up.1,MiFish,44915bee2458e63f38683d814af6f392972eec73,458
MiFish.0321.1Prt.Up.1,MiFish,b1f3a67396c40a744dcd968c70dfbebb8751bb8f,323
MiFish.0321.1Prt.Up.1,MiFish,5b70a3fed5ebb1f5915f3a151e887ebdd344454b,82
