creek,location,biorep,month,year,sample,qubit.ng.ul
Portage,Down,1,3,2021,Portage.Down.1.321,2.44
Portage,Down,2,3,2021,Portage.Down.2.321,2.62
Portage,Down,3,3,2021,Portage.Down.3.321,3.16
Portage,Up,1,3,2021,Portage.Up.1.321,2.87
Portage,Up,2,3,2021,Portage.Up.2.321,2.65
Portage,Up,3,3,2021,Portage.Up.3.321,2.33
Squalicum,Down,1,3,2021,Squalicum.Down.1.321,7.1
Squalicum,Down,2,3,2021,Squalicum.Down.2.321,3.49
Squalicum,Down,3,3,2021,Squalicum.Down.3.321,4.31
Squalicum,Up,1,3,2021,Squalicum.Up.1.321,6.56
Squalicum,Up,2,3,2021,Squalicum.Up.2.321,5.01
Squalicum,Up,3,3,2021,Squalicum.Up.3.321,3.64
Padden,Down,1,3,2021,Padden.Down.1.321,10.7
Padden,Down,2,3,2021,Padden.Down.2.321,11.6
Padden,Down,3,3,2021,Padden.Down.3.321,7.61
Padden,Up11,1,3,2021,Padden.Up11.1.321,3.4
Padden,Up11,2,3,2021,Padden.Up11.2.321,4.03
Padden,Up11,3,3,2021,Padden.Up11.3.321,4.28
Padden,Up5,1,3,2021,Padden.Up5.1.321,2.29
Padden,Up5,2,3,2021,Padden.Up5.2.321,3.29
Padden,Up5,3,3,2021,Padden.Up5.3.321,3.81
Chuckanut,Down,1,3,2021,Chuckanut.Down.1.321,1.35
Chuckanut,Down,2,3,2021,Chuckanut.Down.2.321,0.774
Chuckanut,Down,3,3,2021,Chuckanut.Down.3.321,0.744
Chuckanut,Up,1,3,2021,Chuckanut.Up.1.321,0.975
Chuckanut,Up,2,3,2021,Chuckanut.Up.2.321,0.784
Chuckanut,Up,3,3,2021,Chuckanut.Up.3.321,0.843
Barnes,Down,1,3,2021,Barnes.Down.1.321,0.836
Barnes,Down,2,3,2021,Barnes.Down.2.321,0.536
Barnes,Down,3,3,2021,Barnes.Down.3.321,0.575
Barnes,Up,1,3,2021,Barnes.Up.1.321,2.5
Barnes,Up,2,3,2021,Barnes.Up.2.321,4.76
Barnes,Up,3,3,2021,Barnes.Up.3.321,2.81
Portage,Down,1,4,2021,Portage.Down.1.421,2.63
Portage,Down,2,4,2021,Portage.Down.2.421,2.35
Portage,Down,3,4,2021,Portage.Down.3.421,3.02
Portage,Up,1,4,2021,Portage.Up.1.421,4.64
Portage,Up,2,4,2021,Portage.Up.2.421,4.24
Portage,Up,3,4,2021,Portage.Up.3.421,4.38
Barnes,Down,1,4,2021,Barnes.Down.1.421,0.686
Barnes,Down,2,4,2021,Barnes.Down.2.421,0.175
Barnes,Down,3,4,2021,Barnes.Down.3.421,2.71
Barnes,Up,1,4,2021,Barnes.Up.1.421,1.04
Barnes,Up,2,4,2021,Barnes.Up.2.421,3.46
Barnes,Up,3,4,2021,Barnes.Up.3.421,2.96
Chuckanut,Down,1,4,2021,Chuckanut.Down.1.421,3.11
Chuckanut,Down,2,4,2021,Chuckanut.Down.2.421,0.513
Chuckanut,Down,3,4,2021,Chuckanut.Down.3.421,2.13
Chuckanut,Up,1,4,2021,Chuckanut.Up.1.421,1.91
Chuckanut,Up,2,4,2021,Chuckanut.Up.2.421,0.866
Chuckanut,Up,3,4,2021,Chuckanut.Up.3.421,1.58
Padden,Down,1,4,2021,Padden.Down.1.421,14
Padden,Down,2,4,2021,Padden.Down.2.421,30.8
Padden,Down,3,4,2021,Padden.Down.3.421,35.2
Padden,Up11,1,4,2021,Padden.Up11.1.421,22.7
Padden,Up11,2,4,2021,Padden.Up11.2.421,13.7
Padden,Up11,3,4,2021,Padden.Up11.3.421,12.2
Padden,Up5,1,4,2021,Padden.Up5.1.421,17.1
Padden,Up5,2,4,2021,Padden.Up5.2.421,22.1
Padden,Up5,3,4,2021,Padden.Up5.3.421,27.5
