Marker,Month,Creek,Station,Replicate,Samplename,Qubit.ng.ul
MiMammal,321,1Prt,Dn,1,MiMammal.0321.1Prt.Dn.1,0.682
MiMammal,321,1Prt,Dn,2,MiMammal.0321.1Prt.Dn.2,0.588
MiMammal,321,1Prt,Dn,3,MiMammal.0321.1Prt.Dn.3,0.593
MiMammal,321,1Prt,Up,1,MiMammal.0321.1Prt.Up.1,0.394
MiMammal,321,1Prt,Up,2,MiMammal.0321.1Prt.Up.2,0.41
MiMammal,321,1Prt,Up,3,MiMammal.0321.1Prt.Up.3,0.342
MiMammal,321,2Brn,Dn,1,MiMammal.0321.2Brn.Dn.1,1.52
MiMammal,321,2Brn,Dn,2,MiMammal.0321.2Brn.Dn.2,0.58
MiMammal,321,2Brn,Dn,3,MiMammal.0321.2Brn.Dn.3,0.486
MiMammal,321,2Brn,Up,1,MiMammal.0321.2Brn.Up.1,2.8
MiMammal,321,2Brn,Up,2,MiMammal.0321.2Brn.Up.2,2.86
MiMammal,321,2Brn,Up,3,MiMammal.0321.2Brn.Up.3,1.18
MiMammal,321,2Brn,Up,1.TR2,MiMammal.0321.2Brn.Up.1.TR2,3.82
MiMammal,321,2Brn,Up,1.TR3,MiMammal.0321.2Brn.Up.1.TR3,6.66
MiMammal,321,4Pad,Dn,1,MiMammal.0321.4Pad.Dn.1,0.584
MiMammal,321,4Pad,Dn,2,MiMammal.0321.4Pad.Dn.2,1.19
MiMammal,321,4Pad,Dn,3,MiMammal.0321.4Pad.Dn.3,0.572
MiMammal,321,4Pad,Up11,1,MiMammal.0321.4Pad.Up11.1,1.07
MiMammal,321,4Pad,Up11,2,MiMammal.0321.4Pad.Up11.2,0.701
MiMammal,321,4Pad,Up11,3,MiMammal.0321.4Pad.Up11.3,1.09
MiMammal,321,5Sqm,Dn,1,MiMammal.0321.5Sqm.Dn.1,0.987
MiMammal,321,5Sqm,Dn,2,MiMammal.0321.5Sqm.Dn.2,0.674
MiMammal,321,5Sqm,Dn,3,MiMammal.0321.5Sqm.Dn.3,1.02
MiMammal,321,5Sqm,Up,1,MiMammal.0321.5Sqm.Up.1,1.9
MiMammal,321,5Sqm,Up,2,MiMammal.0321.5Sqm.Up.2,0.783
MiMammal,321,5Sqm,Up,3,MiMammal.0321.5Sqm.Up.3,1.73
MiMammal,421,1Prt,Dn,1,MiMammal.0421.1Prt.Dn.1,0.65
MiMammal,421,1Prt,Dn,2,MiMammal.0421.1Prt.Dn.2,0.488
MiMammal,421,1Prt,Dn,3,MiMammal.0421.1Prt.Dn.3,0.597
MiMammal,421,1Prt,Up,1,MiMammal.0421.1Prt.Up.1,0.659
MiMammal,421,1Prt,Up,2,MiMammal.0421.1Prt.Up.2,0.346
MiMammal,421,1Prt,Up,3,MiMammal.0421.1Prt.Up.3,1.3
MiMammal,421,2Brn,Dn,1,MiMammal.0421.2Brn.Dn.1,0.724
MiMammal,421,2Brn,Dn,2,MiMammal.0421.2Brn.Dn.2,0.283
MiMammal,421,2Brn,Dn,3,MiMammal.0421.2Brn.Dn.3,1.22
MiMammal,421,2Brn,Up,1,MiMammal.0421.2Brn.Up.1,0.449
MiMammal,421,2Brn,Up,2,MiMammal.0421.2Brn.Up.2,0.833
MiMammal,421,2Brn,Up,3,MiMammal.0421.2Brn.Up.3,0.607
MiMammal,421,3Chk,Dn,1,MiMammal.0421.3Chk.Dn.1,1.23
MiMammal,421,3Chk,Dn,2,MiMammal.0421.3Chk.Dn.2,0.99
MiMammal,421,3Chk,Dn,3,MiMammal.0421.3Chk.Dn.3,1.14
MiMammal,421,3Chk,Up,1,MiMammal.0421.3Chk.Up.1,0.693
MiMammal,421,3Chk,Up,2,MiMammal.0421.3Chk.Up.2,1.05
MiMammal,421,3Chk,Up,3,MiMammal.0421.3Chk.Up.3,5.44
MiMammal,421,3Chk,Up,1.TR2,MiMammal.0421.3Chk.Up.1.TR2,0.375
