Plate,Type,Sample,Ct
1,NTC,NTC,Undetermined
1,NTC,NTC,Undetermined
1,NTC,NTC,Undetermined
2,NTC,NTC,Undetermined
2,NTC,NTC,Undetermined
2,NTC,NTC,Undetermined
3,NTC,NTC,Undetermined
3,NTC,NTC,Undetermined
3,NTC,NTC,Undetermined
1,STANDARD,100000,23.51583
1,STANDARD,100000,23.53624
1,STANDARD,100000,24.48533
2,STANDARD,100000,Undetermined
2,STANDARD,100000,25.10679054
2,STANDARD,100000,25.4839859
3,STANDARD,100000,21.55535126
3,STANDARD,100000,21.99902534
3,STANDARD,100000,21.74355125
1,STANDARD,10000,26.88947
1,STANDARD,10000,26.83776
1,STANDARD,10000,27.18859
2,STANDARD,10000,29.98040199
2,STANDARD,10000,29.97006035
2,STANDARD,10000,26.57985687
3,STANDARD,10000,24.48920631
3,STANDARD,10000,27.07566261
3,STANDARD,10000,25.56318855
1,STANDARD,1000,30.66074
1,STANDARD,1000,30.03294
1,STANDARD,1000,30.20838
2,STANDARD,1000,35.56672287
2,STANDARD,1000,35.32265854
2,STANDARD,1000,37.86059189
3,STANDARD,1000,32.35531616
3,STANDARD,1000,29.41837502
3,STANDARD,1000,33.94182587
1,STANDARD,100,34.43321
1,STANDARD,100,33.08632
1,STANDARD,100,32.80364
2,STANDARD,100,Undetermined
2,STANDARD,100,Undetermined
2,STANDARD,100,Undetermined
3,STANDARD,100,Undetermined
3,STANDARD,100,Undetermined
3,STANDARD,100,Undetermined
1,STANDARD,10,37.06
1,STANDARD,10,37.96508
1,STANDARD,10,39.18991
2,STANDARD,10,Undetermined
2,STANDARD,10,Undetermined
2,STANDARD,10,Undetermined
3,STANDARD,10,Undetermined
3,STANDARD,10,Undetermined
3,STANDARD,10,Undetermined
1,STANDARD,1,Undetermined
1,STANDARD,1,Undetermined
1,STANDARD,1,Undetermined
2,STANDARD,1,Undetermined
2,STANDARD,1,Undetermined
2,STANDARD,1,Undetermined
3,STANDARD,1,Undetermined
3,STANDARD,1,Undetermined
3,STANDARD,1,Undetermined
3,UNKNOWN,1221.4Pad.Up11.1,37.49986649
3,UNKNOWN,1221.4Pad.Up11.1,34.39183426
3,UNKNOWN,1221.4Pad.Up11.1,37.46059418
3,UNKNOWN,1121.4Pad.Up5.3,Undetermined
3,UNKNOWN,1121.4Pad.Up5.3,37.27458191
3,UNKNOWN,1121.4Pad.Up5.3,Undetermined
3,UNKNOWN,1121.4Pad.Up5.2,40.8640213
3,UNKNOWN,1121.4Pad.Up5.2,Undetermined
3,UNKNOWN,1121.4Pad.Up5.2,43.50419617
3,UNKNOWN,1121.4Pad.Up5.1,38.76012421
3,UNKNOWN,1121.4Pad.Up5.1,Undetermined
3,UNKNOWN,1121.4Pad.Up5.1,Undetermined
3,UNKNOWN,1121.4Pad.Up11.3,41.99672318
3,UNKNOWN,1121.4Pad.Up11.3,Undetermined
3,UNKNOWN,1121.4Pad.Up11.3,Undetermined
3,UNKNOWN,1121.4Pad.Up11.1,Undetermined
3,UNKNOWN,1121.4Pad.Up11.1,Undetermined
3,UNKNOWN,1121.4Pad.Up11.1,Undetermined
3,UNKNOWN,1021.4Pad.Up5.2,Undetermined
3,UNKNOWN,1021.4Pad.Up5.2,Undetermined
3,UNKNOWN,1021.4Pad.Up5.2,Undetermined
3,UNKNOWN,1021.4Pad.Up5.1,Undetermined
3,UNKNOWN,1021.4Pad.Up5.1,Undetermined
3,UNKNOWN,1021.4Pad.Up5.1,Undetermined
3,UNKNOWN,1021.4Pad.Up11.2,33.90421677
3,UNKNOWN,1021.4Pad.Up11.2,36.09777069
3,UNKNOWN,1021.4Pad.Up11.2,36.68633652
3,UNKNOWN,1021.4Pad.Up11.1,34.69524765
3,UNKNOWN,1021.4Pad.Up11.1,Undetermined
3,UNKNOWN,1021.4Pad.Up11.1,35.87880325
3,UNKNOWN,1021.4Pad.Dn.3,37.72625351
3,UNKNOWN,1021.4Pad.Dn.3,37.06674957
3,UNKNOWN,1021.4Pad.Dn.3,36.2920723
3,UNKNOWN,1021.4Pad.Dn.2,Undetermined
3,UNKNOWN,1021.4Pad.Dn.2,36.79869461
3,UNKNOWN,1021.4Pad.Dn.2,Undetermined
3,UNKNOWN,1021.4Pad.Dn.1,Undetermined
3,UNKNOWN,1021.4Pad.Dn.1,Undetermined
3,UNKNOWN,1021.4Pad.Dn.1,36.58872223
3,UNKNOWN,0921.4Pad.Up5.3,Undetermined
3,UNKNOWN,0921.4Pad.Up5.3,Undetermined
3,UNKNOWN,0921.4Pad.Up5.3,Undetermined
2,UNKNOWN,0921.4Pad.Up5.2,Undetermined
2,UNKNOWN,0921.4Pad.Up5.2,Undetermined
2,UNKNOWN,0921.4Pad.Up5.2,Undetermined
2,UNKNOWN,0921.4Pad.Up5.1,Undetermined
2,UNKNOWN,0921.4Pad.Up5.1,Undetermined
2,UNKNOWN,0921.4Pad.Up5.1,Undetermined
2,UNKNOWN,0921.4Pad.Up11.2,34.70903778
2,UNKNOWN,0921.4Pad.Up11.2,35.98448563
2,UNKNOWN,0921.4Pad.Up11.2,35.31520462
2,UNKNOWN,0921.4Pad.Dn.3,Undetermined
2,UNKNOWN,0921.4Pad.Dn.3,38.25772476
2,UNKNOWN,0921.4Pad.Dn.3,37.12596893
2,UNKNOWN,0921.4Pad.Dn.2,36.23818207
2,UNKNOWN,0921.4Pad.Dn.2,36.67614746
2,UNKNOWN,0921.4Pad.Dn.2,36.47156906
2,UNKNOWN,0921.4Pad.Dn.2,37.02586746
2,UNKNOWN,0921.4Pad.Dn.2,37.59849548
2,UNKNOWN,0921.4Pad.Dn.2,36.03897858
2,UNKNOWN,0821.4Pad.Up5.3,Undetermined
2,UNKNOWN,0821.4Pad.Up5.3,Undetermined
2,UNKNOWN,0821.4Pad.Up5.2,Undetermined
2,UNKNOWN,0821.4Pad.Up5.2,Undetermined
2,UNKNOWN,0821.4Pad.Up5.2,Undetermined
2,UNKNOWN,0821.4Pad.Up5.1,Undetermined
2,UNKNOWN,0821.4Pad.Up5.1,Undetermined
2,UNKNOWN,0821.4Pad.Up5.1,Undetermined
2,UNKNOWN,0821.4Pad.Up11.2,36.39646149
2,UNKNOWN,0821.4Pad.Up11.2,36.6042366
2,UNKNOWN,0821.4Pad.Up11.2,36.99210739
2,UNKNOWN,0821.4Pad.Up11.1,36.72730255
2,UNKNOWN,0821.4Pad.Up11.1,36.96128845
2,UNKNOWN,0821.4Pad.Up11.1,Undetermined
2,UNKNOWN,0821.4Pad.Dn.1,37.01657486
2,UNKNOWN,0821.4Pad.Dn.1,38.21217728
2,UNKNOWN,0821.4Pad.Dn.1,36.42608643
2,UNKNOWN,0721.4Pad.Up5.3,Undetermined
2,UNKNOWN,0721.4Pad.Up5.3,Undetermined
2,UNKNOWN,0721.4Pad.Up5.3,Undetermined
