Sample,final_dilution
0122.1Prt.Up.1,10
0122.1Prt.Up.3,10
0122.2Brn.Dn.1,10
0122.2Brn.Dn.2,10
0122.3Chk.Dn.1,10
0122.3Chk.Dn.2,10
0122.3Chk.Dn.3,10
0122.3Chk.Up.1,10
0122.3Chk.Up.2,10
0122.3Chk.Up.3,10
0122.5Sqm.Dn.2,10
0122.5Sqm.Dn.3,10
0222.3Chk.Dn.2,10
0222.3Chk.Dn.3,10
0222.3Chk.Up.1,10
0222.3Chk.Up.2,10
0222.3Chk.Up.3,10
0222.5Sqm.Dn.1,10
0222.5Sqm.Dn.2,10
0222.5Sqm.Dn.3,10
0222.5Sqm.Up.1,10
0222.5Sqm.Up.2,10
0222.5Sqm.Up.3,10
0321.5Sqm.Dn.1,10
0321.5Sqm.Dn.2,10
0321.5Sqm.Dn.3,10
0321.5Sqm.Up.1,10
0321.5Sqm.Up.3,10
0421.1Prt.Dn.3,100
0421.1Prt.Up.2,100
0421.2Brn.Up.2,10
0421.3Chk.Up.3,10
0421.5Sqm.Dn.1,10
0421.5Sqm.Dn.2,10
0421.5Sqm.Dn.3,10
0421.5Sqm.Up.1,10
0421.5Sqm.Up.2,10
0421.5Sqm.Up.3,10
0621.2Brn.Dn.1,10
0621.2Brn.Dn.3,10
0621.2Brn.Up.2,10
0721.1Prt.Dn.1,10
0721.2Brn.Dn.3,10
0821.1Prt.Dn.1,10
0821.1Prt.Dn.2,10
0821.1Prt.Dn.3,10
0821.1Prt.Up.2,100
0821.1Prt.Up.3,100
0921.4Pad.Up.11.1,1000
1121.1Prt.Up.3,100
1121.2Brn.Dn.1,10
1121.2Brn.Dn.2,10
1121.2Brn.Dn.3,10
1121.5Sqm.Up.2,10
1221.1Prt.Dn.2,100
1221.1Prt.Up.2,100
1221.1Prt.Up.3,100
1221.2Brn.Dn.1,10
1221.5Sqm.Dn.1,10
1221.5Sqm.Dn.2,10
1221.5Sqm.Up.1,10
1221.5Sqm.Up.3,10
