Sample,LogID,Trident,Volume,time,creek,station,bio
0321.1Prt.Dn.1,0,0,2.01,0321,1Prt,Dn,1
0321.1Prt.Dn.2,0,0,2.01,0321,1Prt,Dn,2
0321.1Prt.Dn.3,0,0,2,0321,1Prt,Dn,3
0321.1Prt.Up.1,0,0,2,0321,1Prt,Up,1
0321.1Prt.Up.2,0,0,1.99,0321,1Prt,Up,2
0321.1Prt.Up.3,0,0,1.99,0321,1Prt,Up,3
0321.2Brn.Dn.1,0,0,1.99,0321,2Brn,Dn,1
0321.2Brn.Dn.2,0,0,1.94,0321,2Brn,Dn,2
0321.2Brn.Dn.3,0,0,2,0321,2Brn,Dn,3
0321.2Brn.Up.1,0,0,2.01,0321,2Brn,Up,1
0321.2Brn.Up.2,0,0,1.99,0321,2Brn,Up,2
0321.2Brn.Up.3,0,0,2,0321,2Brn,Up,3
0321.3Chk.Dn.1,0,0,2.03,0321,3Chk,Dn,1
0321.3Chk.Dn.2,0,0,2,0321,3Chk,Dn,2
0321.3Chk.Dn.3,0,0,2.01,0321,3Chk,Dn,3
0321.3Chk.Up.1,0,0,2.01,0321,3Chk,Up,1
0321.3Chk.Up.2,0,0,2.02,0321,3Chk,Up,2
0321.3Chk.Up.3,0,0,2.02,0321,3Chk,Up,3
0321.4Pad.Dn.1,0,0,1.96,0321,4Pad,Dn,1
0321.4Pad.Dn.2,0,0,1.98,0321,4Pad,Dn,2
0321.4Pad.Dn.3,0,0,1.98,0321,4Pad,Dn,3
0321.4Pad.Up11.1,0,0,2.01,0321,4Pad,Up11,1
0321.4Pad.Up11.2,0,0,2,0321,4Pad,Up11,2
0321.4Pad.Up11.3,0,0,1.99,0321,4Pad,Up11,3
0321.4Pad.Up5.1,0,0,2.01,0321,4Pad,Up5,1
0321.4Pad.Up5.2,0,0,2.01,0321,4Pad,Up5,2
0321.4Pad.Up5.3,0,0,2.02,0321,4Pad,Up5,3
0321.5Sqm.Dn.1,0,0,1.99,0321,5Sqm,Dn,1
0321.5Sqm.Dn.2,0,0,2.01,0321,5Sqm,Dn,2
0321.5Sqm.Dn.3,0,0,1.99,0321,5Sqm,Dn,3
0321.5Sqm.Up.1,0,0,1.98,0321,5Sqm,Up,1
0321.5Sqm.Up.2,0,0,1.96,0321,5Sqm,Up,2
0321.5Sqm.Up.3,0,0,1.99,0321,5Sqm,Up,3
0421.1Prt.Dn.1,7,1,5.91,0421,1Prt,Dn,1
0421.1Prt.Dn.2,7,1,5.91,0421,1Prt,Dn,2
0421.1Prt.Dn.3,7,1,5.91,0421,1Prt,Dn,3
0421.1Prt.Up.1,8,1,6.06,0421,1Prt,Up,1
0421.1Prt.Up.2,8,1,6.06,0421,1Prt,Up,2
0421.1Prt.Up.3,8,1,6.06,0421,1Prt,Up,3
0421.2Brn.Dn.1,9,1,6.23,0421,2Brn,Dn,1
0421.2Brn.Dn.2,9,1,6.23,0421,2Brn,Dn,2
0421.2Brn.Dn.3,9,1,6.23,0421,2Brn,Dn,3
0421.2Brn.Up.1,10,1,6.08,0421,2Brn,Up,1
0421.2Brn.Up.2,10,1,6.08,0421,2Brn,Up,2
0421.2Brn.Up.3,10,1,6.08,0421,2Brn,Up,3
