"Sample_name","species","totalReads"
"MiFish.0321.1Prt.Up.1.1","Oncorhynchus clarkii",20364
"MiFish.0321.1Prt.Up.1.1","Oncorhynchus kisutch",3018
"MiFish.0321.1Prt.Up.1.1","Lampetra ayresii",1475
"MiFish.0321.1Prt.Up.1.1","Didelphis virginiana",8
"MiFish.0321.2Brn.Dn.3.1","Oncorhynchus clarkii",51449
"MiFish.0321.2Brn.Dn.3.1","Dicamptodon tenebrosus",10924
"MiFish.0321.2Brn.Dn.3.1","Lampetra ayresii",1530
"MiFish.0321.2Brn.Dn.3.1","Ascaphus truei",1929
"MiFish.0321.2Brn.Dn.3.1","Homo sapiens",228
"MiFish.0321.3Chk.Dn.1.1","Oncorhynchus clarkii",3108
"MiFish.0321.3Chk.Dn.1.1","Oncorhynchus mykiss",11379
"MiFish.0321.3Chk.Dn.1.1","Homo sapiens",662
"MiFish.0321.3Chk.Dn.1.1","Didelphis virginiana",244
"MiFish.0321.3Chk.Dn.3.1","Oncorhynchus clarkii",93709
"MiFish.0321.3Chk.Up.2.1","Oncorhynchus clarkii",19484
"MiFish.0321.3Chk.Up.2.1","Homo sapiens",54
"MiFish.0321.3Chk.Up.2.1","Bucephala albeola",24
"MiFish.0321.4Pad.Dn.2.1","Oncorhynchus clarkii",10661
"MiFish.0321.4Pad.Dn.2.1","Cottus asper",55786
"MiFish.0321.4Pad.Dn.2.1","Oncorhynchus kisutch",10276
"MiFish.0321.4Pad.Dn.2.1","Oncorhynchus mykiss",20029
"MiFish.0321.4Pad.Dn.2.1","Gasterosteus aculeatus",5544
"MiFish.0321.4Pad.Dn.2.1","Turdus migratorius",124
"MiFish.0321.4Pad.Dn.2.1","Lepomis gibbosus",1890
"MiFish.0321.4Pad.Dn.2.1","Canis lupus",309
"MiFish.0321.4Pad.Dn.3.1","Oncorhynchus clarkii",20199
"MiFish.0321.4Pad.Dn.3.1","Cottus asper",39861
"MiFish.0321.4Pad.Dn.3.1","Oncorhynchus kisutch",2663
"MiFish.0321.4Pad.Dn.3.1","Perca flavescens",1781
"MiFish.0321.4Pad.Dn.3.1","Oncorhynchus mykiss",26897
"MiFish.0321.4Pad.Dn.3.1","Turdus migratorius",421
"MiFish.0321.4Pad.Dn.3.1","Sus scrofa",349
"MiFish.0321.4Pad.Dn.3.1","Phalacrocorax auritus",32
"MiFish.0321.4Pad.Dn.3.1","Procyon lotor",3
"MiFish.0321.4Pad.Up11.1.1","Oncorhynchus clarkii",12462
"MiFish.0321.4Pad.Up11.1.1","Cottus asper",47826
"MiFish.0321.4Pad.Up11.1.1","Oncorhynchus mykiss",37714
"MiFish.0321.4Pad.Up11.1.1","Homo sapiens",170
"MiFish.0321.4Pad.Up11.1.1","Lepomis gibbosus",733
"MiFish.0321.4Pad.Up11.3.1","Oncorhynchus clarkii",11544
"MiFish.0321.4Pad.Up11.3.1","Cottus asper",64502
"MiFish.0321.4Pad.Up11.3.1","Oncorhynchus mykiss",18667
