"Sample","creek","timeplot","daysampletoavg","flow_m3s","yearplot","monthplot","dayplot"
"0321.4Pad.Dn.1","Padden",2021-03-10 21:45:00,2021-03-10,0.1585743432,2021,3,10
"0321.4Pad.Dn.2","Padden",2021-03-10 21:45:00,2021-03-10,0.1585743432,2021,3,10
"0321.4Pad.Dn.3","Padden",2021-03-10 21:45:00,2021-03-10,0.1585743432,2021,3,10
"0321.4Pad.Up11.1","Padden",2021-03-10 22:00:00,2021-03-10,0.1614060279,2021,3,10
"0321.4Pad.Up11.2","Padden",2021-03-10 22:00:00,2021-03-10,0.1614060279,2021,3,10
"0321.4Pad.Up11.3","Padden",2021-03-10 22:00:00,2021-03-10,0.1614060279,2021,3,10
"0321.4Pad.Up5.1","Padden",2021-03-10 22:45:00,2021-03-10,0.1557426585,2021,3,10
"0321.4Pad.Up5.2","Padden",2021-03-10 22:45:00,2021-03-10,0.1557426585,2021,3,10
"0321.4Pad.Up5.3","Padden",2021-03-10 22:45:00,2021-03-10,0.1557426585,2021,3,10
"0421.4Pad.Dn.1","Padden",2021-04-08 22:00:00,2021-04-08,0.1783961361,2021,4,8
"0421.4Pad.Dn.2","Padden",2021-04-08 22:00:00,2021-04-08,0.1783961361,2021,4,8
"0421.4Pad.Dn.3","Padden",2021-04-08 22:15:00,2021-04-08,0.1783961361,2021,4,8
"0421.4Pad.Up11.1","Padden",2021-04-08 22:30:00,2021-04-08,0.1812278208,2021,4,8
"0421.4Pad.Up11.2","Padden",2021-04-08 22:30:00,2021-04-08,0.1812278208,2021,4,8
"0421.4Pad.Up11.3","Padden",2021-04-08 22:30:00,2021-04-08,0.1812278208,2021,4,8
"0421.4Pad.Up5.1","Padden",2021-04-08 22:45:00,2021-04-08,0.169901082,2021,4,8
"0421.4Pad.Up5.2","Padden",2021-04-08 22:45:00,2021-04-08,0.169901082,2021,4,8
"0421.4Pad.Up5.3","Padden",2021-04-08 22:45:00,2021-04-08,0.169901082,2021,4,8
