"Plate","Well","Sample","Ct","dilution","Adj_Vol"
1,"A1","St1",21.7779521942139,NA,NA
1,"A2","St1",21.8429183959961,NA,NA
1,"A3","St1",21.990909576416,NA,NA
1,"A4","0321.1Prt.Dn.1",NA,100,2.01
1,"A5","0321.1Prt.Dn.1",NA,100,2.01
1,"A6","0321.1Prt.Dn.1",NA,100,2.01
1,"A7","0521.2Brn.Up.1",NA,10,2.01
1,"A8","0521.2Brn.Up.1",NA,10,2.01
1,"A9","0521.2Brn.Up.1",NA,10,2.01
1,"B1","St2",25.6319217681885,NA,NA
1,"B2","St2",25.4124965667725,NA,NA
1,"B3","St2",25.2764663696289,NA,NA
1,"B4","0321.1Prt.Dn.2",38.1723709106445,100,2.01
1,"B5","0321.1Prt.Dn.2",NA,100,2.01
1,"B6","0321.1Prt.Dn.2",NA,100,2.01
1,"B7","0521.2Brn.Up.2",NA,10,2.01
1,"B8","0521.2Brn.Up.2",NA,10,2.01
1,"B9","0521.2Brn.Up.2",NA,10,2.01
1,"B10","0721.2Brn.Up.3",NA,1,2.01666666666667
1,"B11","0721.2Brn.Up.3",NA,1,2.01666666666667
1,"B12","0721.2Brn.Up.3",NA,1,2.01666666666667
1,"C1","St3",28.7084693908691,NA,NA
1,"C2","St3",28.6687889099121,NA,NA
1,"C3","St3",28.6526432037354,NA,NA
1,"C4","0321.1Prt.Dn.3",NA,100,2
1,"C5","0321.1Prt.Dn.3",NA,100,2
1,"C6","0321.1Prt.Dn.3",NA,100,2
1,"C7","0521.2Brn.Up.3",NA,10,2.01
1,"C8","0521.2Brn.Up.3",NA,10,2.01
1,"C9","0521.2Brn.Up.3",NA,10,2.01
1,"C10","0821.2Brn.Up.1",NA,1,2.01
1,"C11","0821.2Brn.Up.1",NA,1,2.01
1,"C12","0821.2Brn.Up.1",NA,1,2.01
1,"D1","St4",31.8853359222412,NA,NA
1,"D2","St4",31.978702545166,NA,NA
1,"D3","St4",32.6019401550293,NA,NA
1,"D7","0521.3Chk.Up.1",NA,100,2.13
1,"D8","0521.3Chk.Up.1",NA,100,2.13
1,"D9","0521.3Chk.Up.1",NA,100,2.13
1,"E1","St5",36.4674377441406,NA,NA
1,"E2","St5",35.0045356750488,NA,NA
1,"E3","St5",35.7791175842285,NA,NA
1,"E10","0821.2Brn.Up.3",NA,1,2.01
1,"E11","0821.2Brn.Up.3",NA,1,2.01
1,"E12","0821.2Brn.Up.3",NA,1,2.01
1,"F1","St6",37.2709350585938,NA,NA
1,"F2","St6",37.9807014465332,NA,NA
1,"F3","St6",37.8752479553223,NA,NA
1,"G1","St7",36.6768569946289,NA,NA
1,"G2","St7",36.4725189208984,NA,NA
1,"G3","St7",37.6731796264648,NA,NA
1,"G7","0621.2Brn.Up.3",NA,1,2.02
1,"G8","0621.2Brn.Up.3",NA,1,2.02
1,"G9","0621.2Brn.Up.3",NA,1,2.02
1,"G10","0921.2Brn.Up.2",NA,1,2.02333333333333
1,"G11","0921.2Brn.Up.2",NA,1,2.02333333333333
1,"G12","0921.2Brn.Up.2",NA,1,2.02333333333333
1,"H1","St8",37.4360847473145,NA,NA
1,"H2","St8",37.9135131835938,NA,NA
1,"H3","St8",NA,NA,NA
2,"A1","St1",22.6741027832031,NA,NA
2,"A2","St1",22.6334857940674,NA,NA
2,"A3","St1",22.6139640808105,NA,NA
2,"A4","0921.2Brn.Up.3",NA,1,2.02333333333333
2,"A5","0921.2Brn.Up.3",NA,1,2.02333333333333
2,"A6","0921.2Brn.Up.3",NA,1,2.02333333333333
2,"A7","1121.2Brn.Dn.3",NA,10,2
2,"A8","1121.2Brn.Dn.3",NA,10,2
2,"A9","1121.2Brn.Dn.3",NA,10,2
2,"A10","1221.2Brn.Up.1",NA,1,2.02
2,"A11","1221.2Brn.Up.1",NA,1,2.02
2,"A12","1221.2Brn.Up.1",NA,1,2.02
2,"B1","St2",26.0144596099854,NA,NA
2,"B2","St2",26.0920333862305,NA,NA
2,"B3","St2",26.0882549285889,NA,NA
2,"B4","1021.2Brn.Up.1",NA,1,2.02666666666667
2,"B5","1021.2Brn.Up.1",NA,1,2.02666666666667
2,"B6","1021.2Brn.Up.1",NA,1,2.02666666666667
2,"B7","1121.2Brn.Up.1",NA,1,2.02333333333333
2,"B8","1121.2Brn.Up.1",NA,1,2.02333333333333
2,"B9","1121.2Brn.Up.1",NA,1,2.02333333333333
2,"B10","1221.2Brn.Up.2",NA,1,2.02
2,"B11","1221.2Brn.Up.2",NA,1,2.02
2,"B12","1221.2Brn.Up.2",NA,1,2.02
2,"C1","St3",29.43772315979,NA,NA
2,"C2","St3",29.6152877807617,NA,NA
2,"C3","St3",29.4709815979004,NA,NA
2,"C4","1021.2Brn.Up.2",NA,1,2.02666666666667
2,"C5","1021.2Brn.Up.2",NA,1,2.02666666666667
2,"C6","1021.2Brn.Up.2",NA,1,2.02666666666667
2,"C7","1121.2Brn.Up.2",NA,1,2.02333333333333
2,"C8","1121.2Brn.Up.2",NA,1,2.02333333333333
2,"C9","1121.2Brn.Up.2",NA,1,2.02333333333333
2,"C10","1221.2Brn.Up.3",NA,1,2.02
2,"C11","1221.2Brn.Up.3",NA,1,2.02
2,"C12","1221.2Brn.Up.3",NA,1,2.02
2,"D1","St4",32.6532897949219,NA,NA
2,"D2","St4",32.7095527648926,NA,NA
2,"D3","St4",33.1299209594727,NA,NA
2,"D4","1021.2Brn.Up.3",NA,1,2.02666666666667
2,"D5","1021.2Brn.Up.3",NA,1,2.02666666666667
2,"D6","1021.2Brn.Up.3",NA,1,2.02666666666667
2,"D7","1121.2Brn.Up.3",NA,1,2.02333333333333
2,"D8","1121.2Brn.Up.3",NA,1,2.02333333333333
2,"D9","1121.2Brn.Up.3",NA,1,2.02333333333333
2,"E1","St5",37.4587783813477,NA,NA
2,"E2","St5",37.4415893554688,NA,NA
2,"E3","St5",36.8307266235352,NA,NA
2,"F1","St6",39.4272651672363,NA,NA
2,"F2","St6",36.9157752990723,NA,NA
2,"F3","St6",38.2122650146484,NA,NA
2,"G1","St7",38.7413024902344,NA,NA
2,"G2","St7",38.598934173584,NA,NA
2,"G3","St7",37.8323135375977,NA,NA
2,"G4","1121.1Prt.Up.3",33.4008636474609,100,2.02
2,"G5","1121.1Prt.Up.3",32.7843856811523,100,2.02
2,"G6","1121.1Prt.Up.3",31.6787986755371,100,2.02
2,"G10","0222.2Brn.Up.1",NA,1,2.05
2,"G11","0222.2Brn.Up.1",NA,1,2.05
2,"G12","0222.2Brn.Up.1",NA,1,2.05
2,"H1","St8",37.9601440429688,NA,NA
2,"H2","St8",NA,NA,NA
2,"H3","St8",NA,NA,NA
2,"H4","1121.2Brn.Dn.2",38.9329299926758,10,2
2,"H5","1121.2Brn.Dn.2",NA,10,2
2,"H6","1121.2Brn.Dn.2",37.4391708374023,10,2
2,"H7","1221.2Brn.Dn.2",NA,1,2.05666666666667
2,"H8","1221.2Brn.Dn.2",NA,1,2.05666666666667
2,"H9","1221.2Brn.Dn.2",NA,1,2.05666666666667
3,"A1","St1",23.2968711853027,NA,NA
3,"A2","St1",23.2514362335205,NA,NA
3,"A3","St1",23.2322635650635,NA,NA
3,"A4","0222.2Brn.Up.2",NA,1,2.05
3,"A5","0222.2Brn.Up.2",NA,1,2.05
3,"A6","0222.2Brn.Up.2",NA,1,2.05
3,"A7","0421.2Brn.Up.2",NA,10,2.02666666666667
3,"A8","0421.2Brn.Up.2",NA,10,2.02666666666667
3,"A9","0421.2Brn.Up.2",NA,10,2.02666666666667
3,"B1","St2",26.7847862243652,NA,NA
3,"B2","St2",26.7274570465088,NA,NA
3,"B3","St2",26.6765232086182,NA,NA
3,"B4","0222.2Brn.Up.3",NA,1,2.05
3,"B5","0222.2Brn.Up.3",NA,1,2.05
3,"B6","0222.2Brn.Up.3",NA,1,2.05
3,"B7","0621.2Brn.Up.2",NA,10,2.02
3,"B8","0621.2Brn.Up.2",NA,10,2.02
3,"B9","0621.2Brn.Up.2",NA,10,2.02
3,"C1","St3",30.087833404541,NA,NA
3,"C2","St3",30.1258125305176,NA,NA
3,"C3","St3",30.2144966125488,NA,NA
3,"C4","0222.3Chk.Dn.2",NA,10,1.98333333333333
3,"C5","0222.3Chk.Dn.2",NA,10,1.98333333333333
3,"C6","0222.3Chk.Dn.2",NA,10,1.98333333333333
3,"C7","1121.2Brn.Dn.3",NA,10,2
3,"C8","1121.2Brn.Dn.3",38.359806060791,10,2
3,"C9","1121.2Brn.Dn.3",NA,10,2
3,"D1","St4",33.2503471374512,NA,NA
3,"D2","St4",33.8769187927246,NA,NA
3,"D3","St4",33.9634819030762,NA,NA
3,"D4","0222.3Chk.Dn.3",NA,10,1.98333333333333
3,"D5","0222.3Chk.Dn.3",NA,10,1.98333333333333
3,"D6","0222.3Chk.Dn.3",NA,10,1.98333333333333
3,"D7","1221.2Brn.Dn.1",NA,10,2.05666666666667
3,"D8","1221.2Brn.Dn.1",NA,10,2.05666666666667
3,"D9","1221.2Brn.Dn.1",NA,10,2.05666666666667
3,"E1","St5",37.971923828125,NA,NA
3,"E2","St5",36.6098861694336,NA,NA
3,"E3","St5",37.3084602355957,NA,NA
3,"E4","0222.3Chk.Up.1",NA,10,2.01
3,"E4","0222.3Chk.Up.1",NA,10,2.01
3,"E5","0222.3Chk.Up.1",NA,10,2.01
3,"E5","0222.3Chk.Up.1",NA,10,2.01
3,"E6","0222.3Chk.Up.1",NA,10,2.01
3,"E6","0222.3Chk.Up.1",NA,10,2.01
3,"E7","0222.3Chk.Up.1",NA,10,2.01
3,"E7","0222.3Chk.Up.1",NA,10,2.01
3,"E8","0222.3Chk.Up.1",NA,10,2.01
3,"E8","0222.3Chk.Up.1",NA,10,2.01
3,"E9","0222.3Chk.Up.1",NA,10,2.01
3,"E9","0222.3Chk.Up.1",NA,10,2.01
3,"F1","St6",38.8320083618164,NA,NA
3,"F2","St6",36.6443214416504,NA,NA
3,"F3","St6",37.933910369873,NA,NA
3,"F4","0222.3Chk.Up.2",NA,10,2.01
