"Plate","Well","Sample","Ct","dilution","Adj_Vol"
1,"A1","St1",20.1342849731445,NA,NA
1,"A2","St1",20.1247463226318,NA,NA
1,"A3","St1",20.0854835510254,NA,NA
1,"A4","0321.1Prt.Dn.1",NA,100,2.01
1,"A5","0321.1Prt.Dn.1",NA,100,2.01
1,"A6","0321.1Prt.Dn.1",NA,100,2.01
1,"A7","0321.2Brn.Dn.3",33.2118682861328,1,2
1,"A8","0321.2Brn.Dn.3",33.2286720275879,1,2
1,"A9","0321.2Brn.Dn.3",32.5608558654785,1,2
1,"B1","St2",23.2234363555908,NA,NA
1,"B2","St2",23.302978515625,NA,NA
1,"B3","St2",23.3272380828857,NA,NA
1,"B4","0321.1Prt.Dn.2",NA,100,2.01
1,"B5","0321.1Prt.Dn.2",NA,100,2.01
1,"B6","0321.1Prt.Dn.2",NA,100,2.01
1,"B10","0321.3Chk.Up.3",NA,10,2.02
1,"B11","0321.3Chk.Up.3",37.0596199035645,10,2.02
1,"B12","0321.3Chk.Up.3",NA,10,2.02
1,"C1","St3",26.6660957336426,NA,NA
1,"C2","St3",26.739818572998,NA,NA
1,"C3","St3",26.9405384063721,NA,NA
1,"C4","0321.1Prt.Dn.3",36.7558746337891,100,2
1,"C5","0321.1Prt.Dn.3",37.6546211242676,100,2
1,"C6","0321.1Prt.Dn.3",NA,100,2
1,"D1","St4",30.067008972168,NA,NA
1,"D2","St4",30.2194633483887,NA,NA
1,"D3","St4",30.3954048156738,NA,NA
1,"E1","St5",33.2357025146484,NA,NA
1,"E2","St5",34.094612121582,NA,NA
1,"E3","St5",34.3691024780273,NA,NA
1,"E4","0321.1Prt.Up.2",34.1763954162598,100,1.99
1,"E5","0321.1Prt.Up.2",33.6122512817383,100,1.99
1,"E6","0321.1Prt.Up.2",35.4922256469727,100,1.99
1,"E7","0321.3Chk.Dn.1",36.6788330078125,10,2.03
1,"E8","0321.3Chk.Dn.1",NA,10,2.03
1,"E9","0321.3Chk.Dn.1",37.3607139587402,10,2.03
1,"F1","St6",34.6360664367676,NA,NA
1,"F2","St6",35.8769416809082,NA,NA
1,"F3","St6",34.996166229248,NA,NA
1,"F4","0321.1Prt.Up.3",NA,100,1.99
1,"F5","0321.1Prt.Up.3",NA,100,1.99
1,"F6","0321.1Prt.Up.3",NA,100,1.99
1,"F7","0321.3Chk.Dn.2",33.7808227539062,1,2
1,"F8","0321.3Chk.Dn.2",33.8706321716309,1,2
1,"F9","0321.3Chk.Dn.2",33.2807579040527,1,2
1,"G1","St6",34.3603286743164,NA,NA
1,"G2","St6",34.8642387390137,NA,NA
1,"G3","St6",36.8888320922852,NA,NA
1,"G4","0321.2Brn.Dn.1",31.1462593078613,1,1.99
1,"G5","0321.2Brn.Dn.1",30.5725250244141,1,1.99
1,"G6","0321.2Brn.Dn.1",30.9686946868896,1,1.99
1,"G7","0321.3Chk.Dn.3",36.4805335998535,10,2.01
1,"G8","0321.3Chk.Dn.3",36.7302398681641,10,2.01
1,"G9","0321.3Chk.Dn.3",NA,10,2.01
1,"H4","0321.2Brn.Dn.2",34.0580825805664,1,1.94
1,"H5","0321.2Brn.Dn.2",35.1206893920898,1,1.94
1,"H6","0321.2Brn.Dn.2",34.2606506347656,1,1.94
1,"H7","0321.3Chk.Up.1",35.8698501586914,10,2.01
1,"H8","0321.3Chk.Up.1",34.9012870788574,10,2.01
1,"H9","0321.3Chk.Up.1",37.1122283935547,10,2.01
2,"A1","St1",20.2147579193115,NA,NA
2,"A2","St1",20.180570602417,NA,NA
2,"A3","St1",20.135103225708,NA,NA
2,"B1","St2",23.3653259277344,NA,NA
2,"B2","St2",23.4221630096436,NA,NA
2,"B3","St2",23.3664703369141,NA,NA
2,"C1","St3",26.833459854126,NA,NA
2,"C2","St3",26.860179901123,NA,NA
2,"C3","St3",26.8369903564453,NA,NA
2,"C4","0421.1Prt.Dn.1",34.0798606872559,100,1.97
2,"C5","0421.1Prt.Dn.1",34.099723815918,100,1.97
2,"C6","0421.1Prt.Dn.1",34.4100151062012,100,1.97
2,"D1","St4",29.8712768554688,NA,NA
2,"D2","St4",30.0952339172363,NA,NA
2,"D3","St4",30.1999340057373,NA,NA
2,"D4","0421.1Prt.Dn.2",37.3017845153809,100,1.97
2,"D5","0421.1Prt.Dn.2",35.4154853820801,100,1.97
2,"D6","0421.1Prt.Dn.2",36.758373260498,100,1.97
2,"E1","St5",33.8803100585938,NA,NA
2,"E2","St5",33.8617210388184,NA,NA
2,"E3","St5",33.3476829528809,NA,NA
2,"F1","St6",35.5642242431641,NA,NA
2,"F2","St6",35.4500503540039,NA,NA
2,"F3","St6",34.2955474853516,NA,NA
2,"G1","St6",34.9073715209961,NA,NA
2,"G2","St6",35.5720252990723,NA,NA
2,"G3","St6",35.1457443237305,NA,NA
3,"A1","St1",22.3887786865234,NA,NA
3,"A2","St1",22.2963771820068,NA,NA
3,"A3","St1",22.2397975921631,NA,NA
3,"A7","0521.1Prt.Up.2",34.8366470336914,10,2.02
3,"A8","0521.1Prt.Up.2",33.8421745300293,10,2.02
3,"A9","0521.1Prt.Up.2",33.690185546875,10,2.02
3,"A10","0521.3Chk.Dn.1",38.2945671081543,100,2.02333333333333
3,"A11","0521.3Chk.Dn.1",NA,100,2.02333333333333
3,"A12","0521.3Chk.Dn.1",NA,100,2.02333333333333
3,"B1","St2",25.5281829833984,NA,NA
3,"B2","St2",25.5578098297119,NA,NA
3,"B3","St2",25.4898357391357,NA,NA
3,"B7","0521.1Prt.Up.3",33.5551834106445,10,2.02
3,"B8","0521.1Prt.Up.3",34.042366027832,10,2.02
3,"B9","0521.1Prt.Up.3",35.288703918457,10,2.02
3,"B10","0521.3Chk.Dn.2",34.7987365722656,10,2.02333333333333
3,"B11","0521.3Chk.Dn.2",35.2992515563965,10,2.02333333333333
3,"B12","0521.3Chk.Dn.2",35.7068824768066,10,2.02333333333333
3,"C1","St3",28.9750747680664,NA,NA
3,"C2","St3",29.0636978149414,NA,NA
3,"C3","St3",28.9659576416016,NA,NA
3,"C10","0521.3Chk.Dn.3",35.9656257629395,100,2.02333333333333
3,"C11","0521.3Chk.Dn.3",NA,100,2.02333333333333
3,"C12","0521.3Chk.Dn.3",NA,100,2.02333333333333
3,"D1","St4",32.2463798522949,NA,NA
3,"D2","St4",32.2900924682617,NA,NA
3,"D3","St4",32.3140449523926,NA,NA
3,"D7","0521.2Brn.Dn.2",33.896411895752,1,2.01
3,"D8","0521.2Brn.Dn.2",33.2729606628418,1,2.01
3,"D9","0521.2Brn.Dn.2",34.1611251831055,1,2.01
