"Plate","Well","Sample","Ct","diffIPC","dilute"
20,"A10","1121.4Pad.Up5.3",NA,NA,TRUE
20,"A11","1121.4Pad.Up5.3",NA,NA,TRUE
20,"A12","1121.4Pad.Up5.3",NA,NA,TRUE
20,"E7","1121.4Pad.Up11.1",NA,NA,TRUE
20,"E8","1121.4Pad.Up11.1",NA,NA,TRUE
20,"E9","1121.4Pad.Up11.1",NA,NA,TRUE
20,"F7","1121.4Pad.Up11.3",NA,NA,TRUE
20,"F8","1121.4Pad.Up11.3",NA,NA,TRUE
20,"F9","1121.4Pad.Up11.3",NA,NA,TRUE
20,"G7","1121.4Pad.Up5.1",NA,NA,TRUE
20,"G8","1121.4Pad.Up5.1",NA,NA,TRUE
20,"G9","1121.4Pad.Up5.1",NA,NA,TRUE
20,"H7","1121.4Pad.Up5.2",NA,NA,TRUE
20,"H8","1121.4Pad.Up5.2",NA,NA,TRUE
20,"H9","1121.4Pad.Up5.2",NA,NA,TRUE
21,"C10","0921.4Pad.Up11.1",NA,NA,TRUE
21,"C11","0921.4Pad.Up11.1",NA,NA,TRUE
21,"C12","0921.4Pad.Up11.1",NA,NA,TRUE
19,"C7","0721.4Pad.Up11.2",NA,NA,TRUE
19,"C8","0721.4Pad.Up11.2",NA,NA,TRUE
19,"C9","0721.4Pad.Up11.2",NA,NA,TRUE
19,"F7","0721.4Pad.Up5.3",NA,NA,TRUE
19,"F8","0721.4Pad.Up5.3",NA,NA,TRUE
19,"F9","0721.4Pad.Up5.3",NA,NA,TRUE
19,"G7","0821.4Pad.Dn.1",NA,NA,TRUE
19,"G8","0821.4Pad.Dn.1",NA,NA,TRUE
19,"G9","0821.4Pad.Dn.1",NA,NA,TRUE
