"Plate","Sample","meanCt","inhib"
1,"0321.2Brn.Up.1",28.4197152455648,TRUE
1,"0321.2Brn.Up.3",28.5922520955404,TRUE
2,"0421.3Chk.Up.2",31.0529149373372,TRUE
3,"0521.2Brn.Dn.1",29.1374060312907,TRUE
4,"0621.2Brn.Up.1",27.8316402435303,TRUE
5,"0721.1Prt.Dn.2",29.7340552012126,TRUE
5,"0721.2Brn.Up.1",29.6159388224284,TRUE
5,"0721.1Prt.Dn.3",28.9087282816569,TRUE
5,"0721.2Brn.Up.2",28.1465746561686,TRUE
5,"0721.1Prt.Up.1",28.8850816090902,TRUE
5,"0721.1Prt.Up.2",28.1518185933431,TRUE
5,"0721.1Prt.Up.3",28.2649313608805,TRUE
5,"0721.2Brn.Dn.2",29.1833591461182,TRUE
6,"0821.2Brn.Up.2",28.9836037953695,TRUE
6,"0721.5Sqm.Dn.2",28.2084134419759,TRUE
6,"0821.1Prt.Up.1",29.2687664031982,TRUE
11,"1221.3Chk.Up.1",28.4588635762533,TRUE
11,"1221.3Chk.Up.2",27.8722807566325,TRUE
11,"0122.1Prt.Dn.1",29.1842664082845,TRUE
11,"0122.1Prt.Dn.2",27.5936902364095,TRUE
11,"1221.5Sqm.Up.2",28.9119351704915,TRUE
8,"0921.3Chk.Up.3",28.8317337036133,TRUE
12,"0122.5Sqm.Dn.1",28.0352268218994,TRUE
15,"0621.2Brn.Up.2",28.1070760091146,TRUE
16,"1121.5Sqm.Up.2",28.6171029408773,TRUE
