"","creek","yearplot","monthplot","meanmonthflow","dayplot","timestring","timeplot"
"1","Padden",2021,1,0.910204734636979,15,"2021-1-15 12:00",2021-01-15 12:00:00
"2","Padden",2021,2,0.681236036264272,15,"2021-2-15 12:00",2021-02-15 12:00:00
"3","Padden",2021,3,0.249801030554474,15,"2021-3-15 12:00",2021-03-15 12:00:00
"4","Padden",2021,4,0.109772100089827,15,"2021-4-15 12:00",2021-04-15 12:00:00
"5","Padden",2021,5,0.0296023328970766,15,"2021-5-15 12:00",2021-05-15 12:00:00
"6","Padden",2021,6,0.0138742718061458,15,"2021-6-15 12:00",2021-06-15 12:00:00
"7","Padden",2021,7,0.00354555479243697,15,"2021-7-15 12:00",2021-07-15 12:00:00
"8","Padden",2021,8,0.0074254126618887,15,"2021-8-15 12:00",2021-08-15 12:00:00
"9","Padden",2021,9,0.051294788471875,15,"2021-9-15 12:00",2021-09-15 12:00:00
"10","Padden",2021,10,0.129935778745008,15,"2021-10-15 12:00",2021-10-15 12:00:00
"11","Padden",2021,11,0.157775077357258,15,"2021-11-15 12:00",2021-11-15 12:00:00
"12","Chuckanut",2021,1,1.04527431439459,15,"2021-1-15 12:00",2021-01-15 12:00:00
"13","Chuckanut",2021,2,0.925275968961483,15,"2021-2-15 12:00",2021-02-15 12:00:00
"14","Chuckanut",2021,3,0.370506341951714,15,"2021-3-15 12:00",2021-03-15 12:00:00
"15","Chuckanut",2021,4,0.192388394768646,15,"2021-4-15 12:00",2021-04-15 12:00:00
"16","Chuckanut",2021,5,0.0530455612702621,15,"2021-5-15 12:00",2021-05-15 12:00:00
"17","Chuckanut",2021,6,0.0218796804267708,15,"2021-6-15 12:00",2021-06-15 12:00:00
"18","Chuckanut",2021,7,0.00711166658896848,15,"2021-7-15 12:00",2021-07-15 12:00:00
"19","Chuckanut",2021,8,0.00565004830262097,15,"2021-8-15 12:00",2021-08-15 12:00:00
"20","Chuckanut",2021,9,0.0282372646502299,15,"2021-9-15 12:00",2021-09-15 12:00:00
"21","Chuckanut",2021,10,0.347928757922169,15,"2021-10-15 12:00",2021-10-15 12:00:00
"22","Chuckanut",2021,11,0.363437596778226,15,"2021-11-15 12:00",2021-11-15 12:00:00
"23","Squalicum",2021,1,2.59443690718639,15,"2021-1-15 12:00",2021-01-15 12:00:00
"24","Squalicum",2021,2,3.36549413684453,15,"2021-2-15 12:00",2021-02-15 12:00:00
"25","Squalicum",2021,3,0.743680709407056,15,"2021-3-15 12:00",2021-03-15 12:00:00
"26","Squalicum",2021,4,0.248509829140625,15,"2021-4-15 12:00",2021-04-15 12:00:00
"27","Squalicum",2021,5,0.10341502889758,15,"2021-5-15 12:00",2021-05-15 12:00:00
"28","Squalicum",2021,6,0.0879475220966643,15,"2021-6-15 12:00",2021-06-15 12:00:00
"29","Squalicum",2021,7,0.0145305877748571,15,"2021-7-15 12:00",2021-07-15 12:00:00
"30","Squalicum",2021,8,0.0118215224169355,15,"2021-8-15 12:00",2021-08-15 12:00:00
"31","Squalicum",2021,9,0.173070012481979,15,"2021-9-15 12:00",2021-09-15 12:00:00
"32","Squalicum",2021,10,0.531314823483569,15,"2021-10-15 12:00",2021-10-15 12:00:00
"33","Squalicum",2021,11,0.559623106920968,15,"2021-11-15 12:00",2021-11-15 12:00:00
