"X","Sample","creek","timeplot","daysampletoavg","flow_m3s"
1,"0321.4Pad.Dn.1","Padden","2021-03-10 21:45:00","2021-03-10",0.1585743432
2,"0321.4Pad.Dn.2","Padden","2021-03-10 21:45:00","2021-03-10",0.1585743432
3,"0321.4Pad.Dn.3","Padden","2021-03-10 21:45:00","2021-03-10",0.1585743432
4,"0321.4Pad.Up11.1","Padden","2021-03-10 22:00:00","2021-03-10",0.1614060279
5,"0321.4Pad.Up11.2","Padden","2021-03-10 22:00:00","2021-03-10",0.1614060279
6,"0321.4Pad.Up11.3","Padden","2021-03-10 22:00:00","2021-03-10",0.1614060279
7,"0321.4Pad.Up5.1","Padden","2021-03-10 22:45:00","2021-03-10",0.1557426585
8,"0321.4Pad.Up5.2","Padden","2021-03-10 22:45:00","2021-03-10",0.1557426585
9,"0321.4Pad.Up5.3","Padden","2021-03-10 22:45:00","2021-03-10",0.1557426585
10,"0421.4Pad.Dn.1","Padden","2021-04-08 22:00:00","2021-04-08",0.1783961361
11,"0421.4Pad.Dn.2","Padden","2021-04-08 22:00:00","2021-04-08",0.1783961361
12,"0421.4Pad.Dn.3","Padden","2021-04-08 22:15:00","2021-04-08",0.1783961361
13,"0421.4Pad.Up11.1","Padden","2021-04-08 22:30:00","2021-04-08",0.1812278208
14,"0421.4Pad.Up11.2","Padden","2021-04-08 22:30:00","2021-04-08",0.1812278208
15,"0421.4Pad.Up11.3","Padden","2021-04-08 22:30:00","2021-04-08",0.1812278208
16,"0421.4Pad.Up5.1","Padden","2021-04-08 22:45:00","2021-04-08",0.169901082
17,"0421.4Pad.Up5.2","Padden","2021-04-08 22:45:00","2021-04-08",0.169901082
18,"0421.4Pad.Up5.3","Padden","2021-04-08 22:45:00","2021-04-08",0.169901082
19,"0521.4Pad.Dn.1","Padden","2021-05-10 21:00:00","2021-05-10",0.0311485317
20,"0521.4Pad.Dn.2","Padden","2021-05-10 21:00:00","2021-05-10",0.0311485317
21,"0521.4Pad.Dn.3","Padden","2021-05-10 21:00:00","2021-05-10",0.0311485317
22,"0521.4Pad.Up11.1","Padden","2021-05-10 21:15:00","2021-05-10",0.0339802164
23,"0521.4Pad.Up11.2","Padden","2021-05-10 21:15:00","2021-05-10",0.0339802164
24,"0521.4Pad.Up11.3","Padden","2021-05-10 21:15:00","2021-05-10",0.0339802164
25,"0521.4Pad.Up5.1","Padden","2021-05-10 21:45:00","2021-05-10",0.0311485317
26,"0521.4Pad.Up5.2","Padden","2021-05-10 21:45:00","2021-05-10",0.0311485317
27,"0521.4Pad.Up5.3","Padden","2021-05-10 21:45:00","2021-05-10",0.0311485317
28,"0621.4Pad.Dn.1","Padden","2021-06-11 21:00:00","2021-06-11",0.0084950541
29,"0621.4Pad.Dn.2","Padden","2021-06-11 21:00:00","2021-06-11",0.0084950541
30,"0621.4Pad.Dn.3","Padden","2021-06-11 21:00:00","2021-06-11",0.0084950541
31,"0621.4Pad.Up11.1","Padden","2021-06-11 21:15:00","2021-06-11",0.0084950541
32,"0621.4Pad.Up11.2","Padden","2021-06-11 21:15:00","2021-06-11",0.0084950541
33,"0621.4Pad.Up11.3","Padden","2021-06-11 21:15:00","2021-06-11",0.0084950541
34,"0621.4Pad.Up5.1","Padden","2021-06-11 21:45:00","2021-06-11",0.0084950541
35,"0621.4Pad.Up5.2","Padden","2021-06-11 21:45:00","2021-06-11",0.0084950541
36,"0621.4Pad.Up5.3","Padden","2021-06-11 21:45:00","2021-06-11",0.0084950541
37,"0721.4Pad.Dn.1","Padden","2021-07-12 20:15:00","2021-07-12",0.0056633694
38,"0721.4Pad.Dn.2","Padden","2021-07-12 20:15:00","2021-07-12",0.0056633694
39,"0721.4Pad.Dn.3","Padden","2021-07-12 20:15:00","2021-07-12",0.0056633694
40,"0721.4Pad.Up11.1","Padden","2021-07-12 20:15:00","2021-07-12",0.0056633694
41,"0721.4Pad.Up11.2","Padden","2021-07-12 20:15:00","2021-07-12",0.0056633694
42,"0721.4Pad.Up11.3","Padden","2021-07-12 20:15:00","2021-07-12",0.0056633694
43,"0721.4Pad.Up5.1","Padden","2021-07-12 20:45:00","2021-07-12",0.0056633694
44,"0721.4Pad.Up5.2","Padden","2021-07-12 20:45:00","2021-07-12",0.0056633694
45,"0721.4Pad.Up5.3","Padden","2021-07-12 20:45:00","2021-07-12",0.0056633694
46,"0821.4Pad.Dn.1","Padden","2021-08-11 20:00:00","2021-08-11",0.0028316847
47,"0821.4Pad.Dn.2","Padden","2021-08-11 20:00:00","2021-08-11",0.0028316847
48,"0821.4Pad.Dn.3","Padden","2021-08-11 20:00:00","2021-08-11",0.0028316847
49,"0821.4Pad.Up11.1","Padden","2021-08-11 20:15:00","2021-08-11",0.0028316847
50,"0821.4Pad.Up11.2","Padden","2021-08-11 20:15:00","2021-08-11",0.0028316847
51,"0821.4Pad.Up11.3","Padden","2021-08-11 20:15:00","2021-08-11",0.0028316847
