# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=176807474
# chain_id=2
# iter=2000
# warmup=500
# save_warmup=1
# thin=1
# refresh=10
# stepsize=0.01
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.7
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=12
# sampler_t=NUTS(diag_e)
# sample_file=temp/tmp_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta_std_curve_0,beta_std_curve_1,sigma_std_curve,envir_concentration.1,envir_concentration.2,envir_concentration.3,envir_concentration.4,envir_concentration.5,envir_concentration.6,envir_concentration.7,envir_concentration.8,envir_concentration.9,envir_concentration.10,envir_concentration.11,envir_concentration.12,envir_concentration.13,envir_concentration.14,envir_concentration.15,envir_concentration.16,envir_concentration.17,envir_concentration.18,envir_concentration.19,envir_concentration.20,envir_concentration.21,envir_concentration.22,envir_concentration.23,envir_concentration.24,envir_concentration.25,envir_concentration.26,envir_concentration.27,envir_concentration.28,envir_concentration.29,envir_concentration.30,envir_concentration.31,envir_concentration.32,envir_concentration.33,envir_concentration.34,envir_concentration.35,envir_concentration.36,envir_concentration.37,envir_concentration.38,envir_concentration.39,envir_concentration.40,envir_concentration.41,envir_concentration.42,envir_concentration.43,envir_concentration.44,envir_concentration.45,envir_concentration.46,envir_concentration.47,envir_concentration.48,envir_concentration.49,envir_concentration.50,envir_concentration.51,envir_concentration.52,envir_concentration.53,envir_concentration.54,envir_concentration.55,envir_concentration.56,sigma_envir_qPCR,mu_std_curve.1,mu_std_curve.2,mu_std_curve.3,mu_std_curve.4,mu_std_curve.5,mu_qPCR_envir.1,mu_qPCR_envir.2,mu_qPCR_envir.3,mu_qPCR_envir.4,mu_qPCR_envir.5,mu_qPCR_envir.6,mu_qPCR_envir.7,mu_qPCR_envir.8,mu_qPCR_envir.9,mu_qPCR_envir.10,mu_qPCR_envir.11,mu_qPCR_envir.12,mu_qPCR_envir.13,mu_qPCR_envir.14,mu_qPCR_envir.15,mu_qPCR_envir.16,mu_qPCR_envir.17,mu_qPCR_envir.18,mu_qPCR_envir.19,mu_qPCR_envir.20,mu_qPCR_envir.21,mu_qPCR_envir.22,mu_qPCR_envir.23,mu_qPCR_envir.24,mu_qPCR_envir.25,mu_qPCR_envir.26,mu_qPCR_envir.27,mu_qPCR_envir.28,mu_qPCR_envir.29,mu_qPCR_envir.30,mu_qPCR_envir.31,mu_qPCR_envir.32,mu_qPCR_envir.33,mu_qPCR_envir.34,mu_qPCR_envir.35,mu_qPCR_envir.36,mu_qPCR_envir.37,mu_qPCR_envir.38,mu_qPCR_envir.39,mu_qPCR_envir.40,mu_qPCR_envir.41,mu_qPCR_envir.42,mu_qPCR_envir.43,mu_qPCR_envir.44,mu_qPCR_envir.45,mu_qPCR_envir.46,mu_qPCR_envir.47,mu_qPCR_envir.48,mu_qPCR_envir.49,mu_qPCR_envir.50,mu_qPCR_envir.51,mu_qPCR_envir.52,mu_qPCR_envir.53,mu_qPCR_envir.54,mu_qPCR_envir.55,mu_qPCR_envir.56
-7427.22,0,0.02,0,1,1,7455.83,0.446266,-0.342941,3.80478,1.82935,-1.7005,0.901651,-1.34362,1.06181,1.84166,0.249223,1.6069,-0.529086,-0.451677,0.569904,-0.255104,-1.26953,0.535351,1.10345,0.304264,1.35504,-1.74043,-0.541412,-1.30181,-0.769204,-1.90962,-1.50406,0.685268,1.68828,0.663228,0.325249,0.400948,0.0100617,-0.118065,0.126025,1.16269,0.986903,0.520948,1.02817,-0.833033,1.00297,1.26392,-1.66776,0.00535172,-0.790111,-1.49405,-0.419302,1.52806,1.06296,-1.52698,1.20412,-1.53485,-1.40553,-1.3714,-1.00303,-1.1751,1.13469,0.671272,0.868577,1.72767,0.819605,-1.26844,-0.925499,-0.582558,-0.239617,0.103325,-0.181094,1.02944,0.137052,0.907049,0.0821289,-0.185315,0.360797,-0.104808,0.627711,0.601164,0.250822,0.533751,0.881639,0.262672,0.0678481,0.341921,-0.0184318,1.04313,0.631938,0.892709,0.710057,1.10115,0.962071,0.211259,-0.132716,0.218817,0.334724,0.308764,0.442815,0.486755,0.403046,0.0475299,0.107816,0.267611,0.0936655,0.731947,0.102306,0.0128153,1.01821,0.44443,0.717227,0.958636,0.590061,-0.0777695,0.0817317,0.969928,0.033322,0.972629,0.928278,0.916574,0.790246,0.849256,0.0571334,0.216059,0.148395,-0.146223
-7427.22,0,0.0280067,0,1,1,7454.77,0.446266,-0.342941,3.80478,1.82935,-1.7005,0.901651,-1.34362,1.06181,1.84166,0.249223,1.6069,-0.529086,-0.451677,0.569904,-0.255104,-1.26953,0.535351,1.10345,0.304264,1.35504,-1.74043,-0.541412,-1.30181,-0.769204,-1.90962,-1.50406,0.685268,1.68828,0.663228,0.325249,0.400948,0.0100617,-0.118065,0.126025,1.16269,0.986903,0.520948,1.02817,-0.833033,1.00297,1.26392,-1.66776,0.00535172,-0.790111,-1.49405,-0.419302,1.52806,1.06296,-1.52698,1.20412,-1.53485,-1.40553,-1.3714,-1.00303,-1.1751,1.13469,0.671272,0.868577,1.72767,0.819605,-1.26844,-0.925499,-0.582558,-0.239617,0.103325,-0.181094,1.02944,0.137052,0.907049,0.0821289,-0.185315,0.360797,-0.104808,0.627711,0.601164,0.250822,0.533751,0.881639,0.262672,0.0678481,0.341921,-0.0184318,1.04313,0.631938,0.892709,0.710057,1.10115,0.962071,0.211259,-0.132716,0.218817,0.334724,0.308764,0.442815,0.486755,0.403046,0.0475299,0.107816,0.267611,0.0936655,0.731947,0.102306,0.0128153,1.01821,0.44443,0.717227,0.958636,0.590061,-0.0777695,0.0817317,0.969928,0.033322,0.972629,0.928278,0.916574,0.790246,0.849256,0.0571334,0.216059,0.148395,-0.146223
-3130.76,1,0.00368894,2,3,0,7301.18,0.445484,-0.343259,6.95376,1.83646,-1.70018,0.898471,-1.3493,1.0529,1.85663,0.252709,1.61543,-0.525428,-0.453888,0.573494,-0.238293,-1.2698,0.542782,1.11529,0.299284,1.36192,-1.74182,-0.552512,-1.29447,-0.777885,-1.91714,-1.51992,0.680756,1.69298,0.661457,0.312634,0.394999,0.00391128,-0.111644,0.116106,1.15824,0.991953,0.493617,1.02888,-0.835574,1.0142,1.25273,-1.6555,0.00604778,-0.795146,-1.47281,-0.413582,1.52029,1.06355,-1.54124,1.19969,-1.53543,-1.42562,-1.38856,-1.01971,-1.16794,1.13387,0.673642,0.883719,1.74121,0.845739,-1.27081,-0.927553,-0.584294,-0.241035,0.102225,-0.184897,1.02909,0.137075,0.908643,0.0840675,-0.19182,0.358739,-0.109026,0.625842,0.601285,0.248627,0.52728,0.881356,0.259169,0.0626493,0.342752,-0.0220087,1.04338,0.635139,0.889823,0.7125,1.10356,0.967212,0.211808,-0.135648,0.218433,0.33817,0.309897,0.444141,0.483807,0.405629,0.0479082,0.104987,0.276045,0.0923128,0.732302,0.0973506,0.0154714,1.01375,0.443408,0.718425,0.951041,0.58745,-0.0763712,0.0804117,0.974528,0.0336782,0.972534,0.934842,0.922119,0.795508,0.846389,0.056273,0.21425,0.142139,-0.152203
-2522.39,1,0.0053335,2,3,0,3137.52,0.449442,-0.347233,8.53183,1.8282,-1.70416,0.89975,-1.33693,1.07034,1.85244,0.272961,1.62896,-0.531027,-0.453024,0.570151,-0.245631,-1.25904,0.528514,1.1127,0.289043,1.34337,-1.74826,-0.55593,-1.29674,-0.77411,-1.90088,-1.50942,0.658537,1.69251,0.650391,0.325557,0.406558,0.02908,-0.0934181,0.124811,1.14359,1.01129,0.50015,1.02767,-0.835437,1.01205,1.23072,-1.6435,0.0100972,-0.788365,-1.48606,-0.408581,1.52183,1.06325,-1.53136,1.2091,-1.52798,-1.4412,-1.38303,-1.01935,-1.17065,1.14089,0.661533,0.887699,1.72853,0.843265,-1.28672,-0.939488,-0.592256,-0.245023,0.102209,-0.18537,1.04118,0.137019,0.913667,0.0777845,-0.193784,0.354661,-0.116186,0.633832,0.606747,0.251467,0.534733,0.886621,0.265925,0.0630762,0.349077,-0.0170204,1.05649,0.642479,0.899712,0.718238,1.10949,0.97356,0.220777,-0.138254,0.223605,0.336398,0.308272,0.439344,0.48188,0.406104,0.0523509,0.0982882,0.275774,0.0925999,0.739533,0.0980258,0.0220955,1.02012,0.445936,0.723188,0.965451,0.591315,-0.0789879,0.0802459,0.98118,0.0296036,0.980005,0.949874,0.929674,0.803394,0.855931,0.0532884,0.219736,0.141204,-0.15076
-1896.54,1,0.0101701,3,7,0,2496.8,0.458456,-0.342031,12.8286,1.83124,-1.70712,0.887939,-1.31649,1.08394,1.84871,0.294801,1.61441,-0.547608,-0.428082,0.557081,-0.25843,-1.21047,0.585887,1.13222,0.282843,1.35476,-1.76024,-0.550758,-1.26682,-0.756221,-1.90893,-1.47668,0.655424,1.68784,0.647361,0.316957,0.407112,0.0150981,-0.0828277,0.119678,1.14904,1.00934,0.491147,1.04498,-0.800239,1.02152,1.25913,-1.64624,0.027159,-0.810735,-1.50226,-0.414827,1.53344,1.08252,-1.52471,1.19458,-1.53039,-1.43653,-1.38181,-1.01469,-1.17115,1.16449,0.663991,0.885288,1.71114,0.849666,-1.2517,-0.909666,-0.567635,-0.225605,0.116426,-0.167884,1.04234,0.154754,0.908737,0.0877173,-0.173859,0.357626,-0.0937217,0.645755,0.604874,0.267918,0.546847,0.872473,0.258065,0.0712028,0.361715,-0.00491445,1.06051,0.646832,0.891749,0.717107,1.11137,0.963526,0.234282,-0.118838,0.237039,0.350047,0.319212,0.453292,0.486786,0.417523,0.0654511,0.113231,0.290469,0.101041,0.732163,0.109066,0.0277959,1.02152,0.449167,0.735753,0.972276,0.60034,-0.066027,0.0882007,0.979953,0.0498751,0.981897,0.949795,0.931078,0.805512,0.859024,0.0601653,0.231351,0.155661,-0.126806
-1681.81,1,0.0225212,3,7,0,1882.67,0.626682,-0.396901,19.9085,1.66102,-1.65825,0.900263,-1.21739,1.0842,1.69657,0.147454,1.85723,-0.674805,-0.3964,0.72067,-0.227621,-1.36995,0.469206,1.06521,0.254993,1.56253,-1.81018,-0.739871,-1.22832,-0.749189,-1.81432,-1.39716,0.599044,1.65862,0.676961,0.298217,0.592746,0.204501,-0.0570052,0.327425,1.21718,1.09379,0.710331,1.10668,-1.11604,0.959347,1.15064,-1.75816,-0.0126953,-0.532617,-1.48165,-0.296304,1.40145,0.981552,-1.55162,1.3531,-1.44791,-1.253,-1.18682,-1.05596,-1.23672,1.4086,0.788726,1.20806,1.93679,0.752605,-1.35782,-0.960922,-0.564021,-0.16712,0.229781,-0.0325793,1.28484,0.269367,1.10986,0.196361,-0.0466869,0.568158,-0.110456,0.894513,0.784014,0.340647,0.717025,1.17042,0.440454,0.203901,0.525475,0.00651388,1.34514,0.920338,1.11421,0.924036,1.34679,1.18122,0.388921,-0.0316271,0.357996,0.50832,0.391421,0.545515,0.649308,0.496727,0.143583,0.192558,0.344751,0.187441,1.06964,0.245916,0.16999,1.3245,0.631721,0.838078,1.21475,0.744285,0.0704439,0.237103,1.24252,0.0896369,1.20136,1.124,1.09773,1.0458,1.11754,0.0676059,0.313636,0.147201,-0.142031
-1665.1,0.58796,0.0542063,3,13,1,1710.81,0.886621,-0.513642,20.0623,1.86441,-1.82568,0.801384,-1.28406,1.32875,1.62584,0.0735071,2.07304,-0.670488,-0.459445,0.409296,-0.0778162,-1.23103,0.490963,0.800757,0.32804,1.69432,-1.75615,-0.547267,-1.0824,-0.614328,-1.69404,-1.4792,0.462307,1.4259,0.800338,0.608471,0.50818,0.176932,0.418536,0.45823,1.10867,0.898728,0.616474,1.29522,-1.1672,1.20555,1.37948,-1.73108,-0.101908,-0.34131,-1.70542,-0.25544,1.41984,0.852033,-1.37271,1.09924,-1.47969,-1.37997,-1.09355,-0.982098,-1.31087,1.20866,1.0078,1.21901,1.99232,0.631515,-1.68159,-1.16795,-0.654304,-0.140662,0.372979,-0.0710195,1.82437,0.474997,1.54617,0.204122,0.0515196,0.848865,-0.178178,1.23101,1.12261,0.67639,0.926591,1.51893,0.634442,0.475319,0.718126,0.0163454,1.78865,1.16772,1.44259,1.20217,1.75675,1.6464,0.649161,0.154219,0.475534,0.574085,0.625599,0.795742,0.671644,0.651255,0.317163,0.424997,0.569974,0.221344,1.48614,0.267398,0.178062,1.77578,0.938965,1.06193,1.7626,1.01783,0.157333,0.448981,1.5917,0.322004,1.64665,1.59543,1.44831,1.39107,1.55994,0.265804,0.368972,0.260486,-0.136716
-1646.85,0.571247,0.0378602,3,9,1,1688.85,1.18449,-0.552198,24.4132,1.99773,-1.86582,0.86615,-1.53246,1.46277,1.5948,0.226718,2.07465,-0.703631,-0.35092,0.460778,-0.168295,-1.2386,0.434366,0.821827,0.455288,1.51264,-1.61124,-0.450795,-1.0902,-0.586308,-1.6674,-1.44226,0.618543,1.31116,0.798712,0.612851,0.377282,0.237933,0.346799,0.572015,1.11934,0.756156,0.630233,1.40451,-1.45416,1.06251,1.46985,-1.67931,-0.0436925,-0.430412,-1.73264,-0.501231,1.57105,0.951931,-1.507,0.960096,-1.58282,-1.41795,-1.16776,-0.947863,-1.31496,1.21212,0.954805,1.17417,1.9577,0.639433,-1.5765,-1.0243,-0.472106,0.0800919,0.63229,0.0813465,2.21479,0.706201,2.03071,0.376748,0.303841,1.05929,0.0388689,1.57303,1.37826,0.930047,1.27742,1.86844,0.944631,0.730676,0.933078,0.349211,2.07421,1.43342,1.7865,1.50825,2.10522,1.9809,0.842929,0.460468,0.74344,0.846073,0.976153,1.0531,0.992986,0.868622,0.566392,0.76694,0.836474,0.408922,1.98747,0.597774,0.37284,2.1118,1.20861,1.42216,2.14125,1.46127,0.316959,0.658834,2.01665,0.654325,2.05852,1.96748,1.82932,1.7079,1.91061,0.515157,0.657246,0.536112,0.103451
-1600.09,0.524572,0.0250254,3,11,1,1678.74,2.03809,-0.615479,22.2469,1.93544,-2.03749,0.828967,-1.22547,1.50403,1.60585,0.123155,2.028,-0.5393,-0.300083,0.430094,-0.050297,-1.19826,0.477014,0.696215,0.49945,1.67188,-1.73343,-0.386934,-1.1169,-0.608865,-1.77907,-1.5812,0.691024,1.07547,0.885379,0.519244,0.36317,0.335819,0.25526,0.569882,0.887558,0.842973,0.704419,1.59731,-1.52832,0.783207,1.49007,-1.647,-0.0423656,-0.349643,-1.69075,-0.370176,1.45826,1.17181,-1.68205,1.01435,-1.69991,-1.47872,-1.41064,-1.16837,-1.18365,1.14597,0.947509,0.888473,1.97623,0.604284,-1.0393,-0.423825,0.191654,0.807133,1.42261,0.846868,3.29212,1.52788,2.79234,1.11239,1.04973,1.96229,0.789898,2.37002,2.22279,1.77338,2.06905,2.7756,1.7445,1.60959,1.73069,1.00908,3.10498,2.27624,2.72552,2.41283,3.13307,3.01129,1.61278,1.37616,1.49316,1.71851,1.81457,1.8314,1.88098,1.68734,1.49182,1.51926,1.60454,1.05498,2.97874,1.55604,1.12098,3.05178,2.06417,2.25329,3.07871,2.26593,1.14057,1.31687,3.07336,1.41378,3.08435,2.94821,2.90631,2.7572,2.7666,1.33277,1.45492,1.49125,0.821763
-601.099,0.543205,0.014285,4,31,0,1537.64,40.9716,-0.608671,16.2991,2.02771,-1.87248,0.996454,-1.33167,1.60812,1.55856,0.0185886,1.89368,-0.281171,-0.167176,0.433671,0.0340789,-1.55936,0.535449,0.767403,0.657369,1.26754,-1.73214,-0.504733,-1.1255,-0.486084,-1.60625,-1.3707,0.508331,1.07233,0.796327,0.576732,0.427787,0.434899,0.364503,0.513403,1.04815,0.961503,0.608733,1.58195,-1.54944,1.07473,1.54308,-1.70746,-0.0110776,-0.100689,-1.55065,-0.596007,1.83969,1.43396,-1.52807,1.11009,-1.81924,-1.52749,-1.69825,-0.815323,-1.29336,1.252,1.20156,0.823894,1.88764,0.651572,37.9283,38.5369,39.1456,39.7543,40.363,39.7374,42.1113,40.3651,41.7822,39.9928,40.023,40.9603,39.819,41.1428,41.0734,40.7077,40.9509,41.9208,40.6457,40.5045,40.5715,40.2001,42.0259,41.2788,41.6567,41.2675,41.9493,41.8059,40.6622,40.3189,40.4869,40.6206,40.7112,40.7069,40.7498,40.6591,40.3336,40.3864,40.6011,40.0087,41.9147,40.3175,40.0324,42.0109,40.9784,41.0329,41.9155,41.3344,39.8519,40.0988,41.9017,40.2959,42.0789,41.9014,42.0053,41.4679,41.7589,40.2096,40.2403,40.4701,39.8227
